miRNA_ID,miRNA_location,PCG,PCG_embl,lncRNA_embl,Intragenic/Intergenic,PCG_exon/intron,lncRNA_exon/intron
hsa-miR-4684,chr1:22719517-22719598[+],EPHB2,ENSG00000133216,,Intragenic,intron,
hsa-miR-4253,chr1:22863159-22863226[-],EPHB2,ENSG00000133216,,Intragenic,exon,
hsa-miR-3115,chr1:23044305-23044372[+],KDM1A,ENSG00000004487,ENSG00000240553,Intragenic,intron,intron
hsa-miR-378f,chr1:23929070-23929147[+],,,,Intergenic,,
hsa-miR-6731,chr1:24919345-24919416[-],RUNX3,ENSG00000020633,,Intragenic,intron,
hsa-miR-4425,chr1:25023503-25023586[+],,,,Intergenic,,
hsa-miR-3917,chr1:25906362-25906454[-],STMN1,ENSG00000117632,,Intragenic,exon,
hsa-miR-1976,chr1:26554542-26554593[+],RPS6KA1,ENSG00000117676,,Intragenic,intron,
hsa-miR-4420,chr1:30739156-30739232[-],LAPTM5,ENSG00000162511,,Intragenic,intron,
hsa-miR-4254,chr1:31758660-31758735[-],ADGRB2,ENSG00000121753,,Intragenic,intron,
hsa-miR-5585,chr1:32086949-32087007[+],TMEM39B,ENSG00000121775,,Intragenic,intron,
hsa-miR-3605,chr1:33332393-33332492[-],PHC2,ENSG00000134686,ENSG00000225313,Intragenic,exon,intron
hsa-miR-552,chr1:34669599-34669694[-],,,ENSG00000287703,Intragenic,,intron
hsa-miR-4255,chr1:37161563-37161634[+],,,ENSG00000223944,Intragenic,,intron
hsa-miR-6732,chr1:37480230-37480289[+],ZC3H12A,ENSG00000163874,,Intragenic,exon,
hsa-miR-5581,chr1:37500935-37500994[-],MEAF6,ENSG00000163875,,Intragenic,intron,
hsa-miR-3659,chr1:38089231-38089329[+],,,ENSG00000224592,Intragenic,,intron
hsa-miR-30e,chr1:40754355-40754446[+],NFYC,ENSG00000066136,,Intragenic,intron,
hsa-miR-30c-1,chr1:40757284-40757372[+],NFYC,ENSG00000066136,,Intragenic,intron,
hsa-miR-6733,chr1:43171652-43171712[-],EBNA1BP2,ENSG00000117395,,Intragenic,exon,
hsa-miR-6734,chr1:43364648-43364715[-],ELOVL1,ENSG00000066322,,Intragenic,exon,
hsa-miR-6735,chr1:43448539-43448611[+],SZT2,ENSG00000198198,ENSG00000229372,Intragenic,intron,exon
hsa-miR-6079,chr1:43838622-43838683[+],ST3GAL3,ENSG00000126091,,Intragenic,exon,
hsa-miR-5584,chr1:44545493-44545552[+],RNF220,ENSG00000187147,,Intragenic,intron,
hsa-miR-4421,chr1:51059837-51059905[+],,,,Intergenic,,
hsa-miR-6500,chr1:51060018-51060103[+],,,,Intergenic,,
hsa-miR-761,chr1:51836344-51836402[-],NRDC,ENSG00000078618,,Intragenic,exon,
hsa-miR-4781,chr1:54054079-54054154[+],TCEANC2,ENSG00000116205,,Intragenic,exon,
hsa-miR-4422,chr1:55225641-55225723[+],,,ENSG00000231090,Intragenic,,intron
hsa-miR-4711,chr1:59733227-59733296[-],FGGY,ENSG00000172456,,Intragenic,intron,
hsa-miR-3116-1,chr1:62078786-62078859[+],PATJ,ENSG00000132849,,Intragenic,intron,
hsa-miR-3116-2,chr1:62078789-62078856[-],PATJ,ENSG00000132849,,Intragenic,intron,
hsa-miR-6068,chr1:63326925-63326984[-],,,,Intergenic,,
hsa-miR-4794,chr1:64579847-64579923[+],CACHD1,ENSG00000158966,,Intragenic,intron,
hsa-miR-3671,chr1:65057755-65057842[-],JAK1,ENSG00000162434,,Intragenic,intron,
hsa-miR-101-1,chr1:65058434-65058508[-],JAK1,ENSG00000162434,,Intragenic,intron,
hsa-miR-3117,chr1:66628440-66628517[+],SGIP1,ENSG00000118473,,Intragenic,intron,
hsa-miR-1262,chr1:68183518-68183610[-],WLS,ENSG00000116729,ENSG00000232284,Intragenic,intron,intron
hsa-miR-186,chr1:71067631-71067716[-],ZRANB2,ENSG00000132485,,Intragenic,intron,
hsa-miR-7156,chr1:77060143-77060202[+],ST6GALNAC5,ENSG00000117069,,Intragenic,intron,
hsa-miR-4423,chr1:85133794-85133873[+],,,,Intergenic,,
hsa-miR-7856,chr1:86357632-86357687[-],ODF2L,ENSG00000122417,,Intragenic,intron,
hsa-miR-760,chr1:93846832-93846911[+],BCAR3,ENSG00000137936,,Intragenic,intron,
hsa-miR-378g,chr1:94745860-94745900[-],,,,Intergenic,,
hsa-miR-2682,chr1:98045242-98045351[-],,,ENSG00000225206,Intragenic,,exon
hsa-miR-137,chr1:98046070-98046171[-],,,ENSG00000225206,Intragenic,,exon
hsa-miR-553,chr1:100281241-100281308[+],RTCA,ENSG00000137996,,Intragenic,intron,
hsa-miR-7852,chr1:107897223-107897304[+],VAV3,ENSG00000134215,,Intragenic,intron,
hsa-miR-197,chr1:109598893-109598967[+],GNAI3,ENSG00000065135,,Intragenic,exon,
hsa-miR-4256,chr1:112461770-112461833[-],CTTNBP2NL,ENSG00000143079,,Intragenic,intron,
hsa-miR-548ac,chr1:116560024-116560111[-],CD58,ENSG00000116815,,Intragenic,intron,
hsa-miR-942,chr1:117094643-117094728[+],TTF2,ENSG00000116830,,Intragenic,intron,
hsa-miR-6736,chr1:145850587-145850645[-],PIAS3,ENSG00000131788,,Intragenic,intron,
hsa-miR-5087,chr1:148334479-148334554[-],,,ENSG00000224481,Intragenic,,intron
hsa-miR-6077,chr1:148388282-148388363[+],,,ENSG00000274020,Intragenic,,intron
hsa-miR-6878,chr1:150492345-150492410[+],TARS2,ENSG00000143374,,Intragenic,exon,
hsa-miR-4257,chr1:150551929-150552014[+],ADAMTSL4,ENSG00000143382,ENSG00000237781,Intragenic,intron,intron
hsa-miR-554,chr1:151545796-151545891[+],TUFT1,ENSG00000143367,ENSG00000232536,Intragenic,intron,intron
hsa-miR-8083,chr1:153689705-153689793[-],NPR1,ENSG00000169418,,Intragenic,intron,
hsa-miR-6737,chr1:153962351-153962420[-],SLC39A1,ENSG00000143570,,Intragenic,intron,
hsa-miR-5698,chr1:154104521-154104592[-],NUP210L,ENSG00000143552,,Intragenic,intron,
hsa-miR-190b,chr1:154193665-154193743[-],TPM3,ENSG00000143549,,Intragenic,intron,
hsa-miR-4258,chr1:154975693-154975783[+],CKS1B,ENSG00000173207,,Intragenic,intron,
hsa-miR-92b,chr1:155195177-155195272[+],,,ENSG00000231064,Intragenic,,exon
hsa-miR-555,chr1:155346350-155346445[-],ASH1L,ENSG00000116539,,Intragenic,exon,
hsa-miR-6738,chr1:155951273-155951336[-],ARHGEF2,ENSG00000116584,,Intragenic,intron,
hsa-miR-9-1,chr1:156420341-156420429[-],,,ENSG00000125462,Intragenic,,exon
hsa-miR-765,chr1:156936131-156936244[-],ARHGEF11,ENSG00000132694,,Intragenic,intron,
hsa-miR-4259,chr1:159899979-159900079[-],CFAP45,ENSG00000213085,,Intragenic,intron,
hsa-miR-5187,chr1:161227186-161227261[+],TOMM40L,ENSG00000158882,,Intragenic,exon,
hsa-miR-4654,chr1:162157107-162157182[+],NOS1AP,ENSG00000198929,ENSG00000285636,Intragenic,intron,intron
hsa-miR-556,chr1:162342546-162342640[+],NOS1AP,ENSG00000198929,,Intragenic,intron,
hsa-miR-3658,chr1:165907921-165907976[+],UCK2,ENSG00000143179,,Intragenic,exon,
hsa-miR-921,chr1:166154743-166154798[-],FAM78B,ENSG00000188859,ENSG00000230898,Intragenic,intron,intron
hsa-miR-1255b-2,chr1:167998660-167998726[+],DCAF6,ENSG00000143164,,Intragenic,intron,
hsa-miR-557,chr1:168375524-168375621[+],,,,Intergenic,,
hsa-miR-3119-2,chr1:170151378-170151462[+],NTMT2,ENSG00000203740,,Intragenic,intron,
hsa-miR-3119-1,chr1:170151378-170151462[-],NTMT2,ENSG00000203740,,Intragenic,intron,
hsa-miR-3119-2,chr1:170151378-170151462[+],NTMT2,ENSG00000203740,,Intragenic,intron,
hsa-miR-1295a,chr1:171101728-171101806[-],FMO3,ENSG00000007933,ENSG00000231424,Intragenic,intron,intron
hsa-miR-1295b,chr1:171101739-171101798[+],FMO3,ENSG00000007933,ENSG00000231424,Intragenic,intron,intron
hsa-miR-214,chr1:172138798-172138907[-],DNM3,ENSG00000197959,ENSG00000230630,Intragenic,intron,exon
hsa-miR-3120,chr1:172138808-172138888[+],DNM3,ENSG00000197959,ENSG00000230630,Intragenic,intron,exon
hsa-miR-199a-2,chr1:172144535-172144644[-],DNM3,ENSG00000197959,ENSG00000230630,Intragenic,intron,exon
hsa-miR-488,chr1:177029363-177029445[-],ASTN1,ENSG00000152092,,Intragenic,intron,
hsa-miR-4424,chr1:178677749-178677834[+],,,,Intergenic,,
hsa-miR-3121,chr1:180438314-180438390[-],ACBD6,ENSG00000230124,,Intragenic,intron,
hsa-miR-4426,chr1:192716328-192716390[+],,,ENSG00000285280,Intragenic,,intron
hsa-miR-1278,chr1:193136503-193136583[+],CDC73,ENSG00000134371,,Intragenic,intron,
hsa-miR-4735,chr1:196582413-196582481[-],KCNT2,ENSG00000162687,,Intragenic,intron,
hsa-miR-181b-1,chr1:198858873-198858982[-],,,ENSG00000229989,Intragenic,,intron
hsa-miR-181a-1,chr1:198859044-198859153[-],,,ENSG00000229989,Intragenic,,intron
hsa-miR-5191,chr1:201719508-201719627[+],NAV1,ENSG00000134369,ENSG00000231871,Intragenic,intron,intron
hsa-miR-1231,chr1:201808611-201808702[+],NAV1,ENSG00000134369,ENSG00000231871,Intragenic,intron,intron
hsa-miR-6739,chr1:201863373-201863447[+],IPO9,ENSG00000198700,,Intragenic,intron,
hsa-miR-6740,chr1:202003124-202003236[+],RNPEP,ENSG00000176393,ENSG00000234678,Intragenic,intron,intron
hsa-miR-135b,chr1:205448302-205448398[-],BLACAT1,ENSG00000281406,,Intragenic,intron,
hsa-miR-6769b,chr1:206474803-206474864[+],IKBKE,ENSG00000263528,,Intragenic,intron,
hsa-miR-29c,chr1:207801852-207801939[-],,,ENSG00000203709,Intragenic,,exon
hsa-miR-29b-2,chr1:207802443-207802523[-],,,ENSG00000203709,Intragenic,,exon
hsa-miR-205,chr1:209432133-209432242[+],,,ENSG00000230937,Intragenic,,exon
hsa-miR-4260,chr1:209623444-209623510[-],LAMB3,ENSG00000196878,,Intragenic,exon,
hsa-miR-3122,chr1:212077613-212077685[+],DTL,ENSG00000143476,,Intragenic,intron,
hsa-miR-215,chr1:220117853-220117962[-],IARS2,ENSG00000067704,,Intragenic,intron,
hsa-miR-194-1,chr1:220118157-220118241[-],IARS2,ENSG00000067704,,Intragenic,intron,
hsa-miR-664a,chr1:220200538-220200619[-],RAB3GAP2,ENSG00000118873,,Intragenic,intron,
hsa-miR-4742,chr1:224398227-224398311[-],WDR26,ENSG00000162923,,Intragenic,intron,
hsa-miR-6741,chr1:225922080-225922142[-],PYCR2,ENSG00000143811,,Intragenic,exon,
hsa-miR-5008,chr1:227941590-227941683[-],WNT9A,ENSG00000143816,,Intragenic,intron,
hsa-miR-3620,chr1:228097263-228097341[+],ARF1,ENSG00000143761,,Intragenic,exon,
hsa-miR-6742,chr1:228397048-228397109[-],TRIM11,ENSG00000154370,,Intragenic,exon,
hsa-miR-4666a,chr1:228462074-228462152[+],H2BU1,ENSG00000196890,,Intragenic,exon,
hsa-miR-1182,chr1:231019828-231019924[-],FAM89A,ENSG00000182118,,Intragenic,exon,
hsa-miR-4427,chr1:233624152-233624219[+],KCNK1,ENSG00000135750,,Intragenic,intron,
hsa-miR-4671,chr1:234306467-234306539[+],SLC35F3,ENSG00000183780,,Intragenic,intron,
hsa-miR-4753,chr1:235190034-235190116[-],ARID4B,ENSG00000054267,,Intragenic,intron,
hsa-miR-1537,chr1:235853000-235853060[-],LYST,ENSG00000143669,,Intragenic,intron,
hsa-miR-4428,chr1:237471119-237471191[+],RYR2,ENSG00000198626,,Intragenic,exon,
hsa-miR-3123,chr1:241132272-241132346[+],RGS7,ENSG00000182901,,Intragenic,intron,
hsa-miR-4677,chr1:243346176-243346255[+],SDCCAG8,ENSG00000054282,,Intragenic,intron,
hsa-miR-3916,chr1:247201967-247202060[-],,,ENSG00000290683,Intragenic,,exon
hsa-miR-3124,chr1:248826377-248826443[+],,,,Intergenic,,
hsa-miR-5699,chr10:641689-641778[-],DIP2C,ENSG00000151240,,Intragenic,intron,
hsa-miR-6072,chr10:2076019-2076089[-],,,ENSG00000226694,Intragenic,,intron
hsa-miR-6078,chr10:3991160-3991259[+],,,,Intergenic,,
hsa-miR-3155a,chr10:6152196-6152277[+],PFKFB3,ENSG00000170525,,Intragenic,intron,
hsa-miR-3155b,chr10:6152207-6152262[-],PFKFB3,ENSG00000170525,,Intragenic,intron,
hsa-miR-548ak,chr10:12130760-12130816[-],SEC61A2,ENSG00000065665,,Intragenic,intron,
hsa-miR-4480,chr10:12578753-12578823[+],CAMK1D,ENSG00000183049,,Intragenic,intron,
hsa-miR-4481,chr10:12653138-12653197[-],CAMK1D,ENSG00000183049,,Intragenic,intron,
hsa-miR-548q,chr10:12725254-12725353[-],CAMK1D,ENSG00000183049,,Intragenic,intron,
hsa-miR-4293,chr10:14383200-14383277[-],FRMD4A,ENSG00000151474,,Intragenic,intron,
hsa-miR-1265,chr10:14436576-14436661[+],FRMD4A,ENSG00000151474,,Intragenic,intron,
hsa-miR-511,chr10:17845107-17845193[+],MRC1,ENSG00000260314,,Intragenic,intron,
hsa-miR-4675,chr10:20551970-20552046[+],,,,Intergenic,,
hsa-miR-1915,chr10:21496562-21496641[-],,,ENSG00000204682,Intragenic,,intron
hsa-miR-603,chr10:24275685-24275781[+],KIAA1217,ENSG00000120549,,Intragenic,intron,
hsa-miR-8086,chr10:28289258-28289350[-],MPP7,ENSG00000150054,,Intragenic,intron,
hsa-miR-604,chr10:29545004-29545097[-],SVIL,ENSG00000197321,,Intragenic,intron,
hsa-miR-938,chr10:29602264-29602346[-],SVIL,ENSG00000197321,,Intragenic,intron,
hsa-miR-7162,chr10:30368597-30368665[-],MTPAP,ENSG00000107951,,Intragenic,exon,
hsa-miR-3611,chr10:35079598-35079680[-],CUL2,ENSG00000108094,,Intragenic,intron,
hsa-miR-4683,chr10:35641172-35641252[-],FZD8,ENSG00000177283,ENSG00000287528,Intragenic,exon,exon
hsa-miR-5100,chr10:42997563-42997681[+],,,,Intergenic,,
hsa-miR-3156-1,chr10:45164014-45164088[+],,,ENSG00000243349,Intragenic,,intron
hsa-miR-4294,chr10:48985512-48985587[-],,,ENSG00000233665,Intragenic,,intron
hsa-miR-605,chr10:51299573-51299655[+],PRKG1,ENSG00000185532,,Intragenic,intron,
hsa-miR-548f-1,chr10:54607874-54607957[-],PCDH15,ENSG00000150275,ENSG00000234173,Intragenic,intron,intron
hsa-miR-3924,chr10:57304479-57304559[-],,,,Intergenic,,
hsa-miR-1296,chr10:63372957-63373048[-],JMJD1C,ENSG00000171988,,Intragenic,intron,
hsa-miR-7151,chr10:67403351-67403410[-],CTNNA3,ENSG00000183230,,Intragenic,intron,
hsa-miR-7152,chr10:71790747-71790800[+],CDH23,ENSG00000107736,,Intragenic,intron,
hsa-miR-4676,chr10:72721029-72721100[+],MCU,ENSG00000156026,,Intragenic,intron,
hsa-miR-606,chr10:75552458-75552553[+],LRMDA,ENSG00000148655,,Intragenic,intron,
hsa-miR-346,chr10:86264694-86264788[-],GRID1,ENSG00000182771,,Intragenic,intron,
hsa-miR-4678,chr10:87503881-87503954[+],,,ENSG00000286445,Intragenic,,intron
hsa-miR-4679-2,chr10:89063335-89063411[-],,,,Intergenic,,
hsa-miR-4679-1,chr10:89063336-89063410[+],,,,Intergenic,,
hsa-miR-107,chr10:89592747-89592827[-],PANK1,ENSG00000152782,,Intragenic,intron,
hsa-miR-3157,chr10:96064315-96064399[-],,,ENSG00000226688,Intragenic,,intron
hsa-miR-607,chr10:96828669-96828764[-],,,,Intergenic,,
hsa-miR-1287,chr10:98395218-98395307[-],PYROXD2,ENSG00000119943,,Intragenic,exon,
hsa-miR-4685,chr10:98431292-98431360[-],HPS1,ENSG00000107521,,Intragenic,intron,
hsa-miR-6507,chr10:98924499-98924568[-],HPSE2,ENSG00000172987,,Intragenic,intron,
hsa-miR-608,chr10:100974985-100975084[+],MRPL43,ENSG00000055950,,Intragenic,intron,
hsa-miR-3158-2,chr10:101601417-101601497[-],DPCD,ENSG00000166171,,Intragenic,intron,
hsa-miR-3158-1,chr10:101601417-101601497[+],DPCD,ENSG00000166171,,Intragenic,intron,
hsa-miR-3158-2,chr10:101601417-101601497[-],DPCD,ENSG00000166171,,Intragenic,intron,
hsa-miR-3158-1,chr10:101601417-101601497[+],DPCD,ENSG00000166171,,Intragenic,intron,
hsa-miR-146b,chr10:102436512-102436584[+],,,,Intergenic,,
hsa-miR-1307,chr10:103394253-103394401[-],ATP5MK,ENSG00000173915,,Intragenic,exon,
hsa-miR-936,chr10:104048089-104048186[-],COL17A1,ENSG00000065618,,Intragenic,exon,
hsa-miR-609,chr10:104218789-104218883[-],CFAP43,ENSG00000197748,,Intragenic,intron,
hsa-miR-4482,chr10:104268336-104268405[-],,,,Intergenic,,
hsa-miR-4680,chr10:110898090-110898155[+],PDCD4,ENSG00000150593,,Intragenic,exon,
hsa-miR-548e,chr10:110988926-110989013[+],SHOC2,ENSG00000108061,,Intragenic,intron,
hsa-miR-6715a,chr10:112299612-112299690[+],TECTB,ENSG00000119913,,Intragenic,intron,
hsa-miR-6715b,chr10:112299612-112299688[-],TECTB,ENSG00000119913,,Intragenic,intron,
hsa-miR-6715a,chr10:112299612-112299690[+],TECTB,ENSG00000119913,,Intragenic,intron,
hsa-miR-4295,chr10:112634170-112634254[+],VTI1A,ENSG00000151532,,Intragenic,intron,
hsa-miR-4483,chr10:113777993-113778054[-],PLEKHS1,ENSG00000148735,,Intragenic,intron,
hsa-miR-2110,chr10:114174105-114174179[-],CCDC186,ENSG00000165813,,Intragenic,exon,
hsa-miR-3663,chr10:117167678-117167774[-],,,ENSG00000234474,Intragenic,,intron
hsa-miR-4681,chr10:119377972-119378043[+],GRK5,ENSG00000198873,,Intragenic,intron,
hsa-miR-4682,chr10:119958513-119958592[+],,,,Intergenic,,
hsa-miR-3941,chr10:122416965-122417067[+],PLEKHA1,ENSG00000107679,,Intragenic,intron,
hsa-miR-4296,chr10:125032783-125032870[-],CTBP2,ENSG00000175029,,Intragenic,intron,
hsa-miR-4484,chr10:125819740-125819822[+],UROS,ENSG00000188690,,Intragenic,intron,
hsa-miR-4297,chr10:129843299-129843374[-],EBF3,ENSG00000108001,,Intragenic,intron,
hsa-miR-378c,chr10:130962588-130962668[-],,,,Intergenic,,
hsa-miR-202,chr10:133247511-133247620[-],,,ENSG00000166917,Intragenic,,exon
hsa-miR-3944,chr10:133371556-133371663[-],ECHS1,ENSG00000127884,,Intragenic,intron,
hsa-miR-6743,chr11:209336-209406[+],RIC8A,ENSG00000177963,,Intragenic,exon,
hsa-miR-210,chr11:568089-568198[-],,,ENSG00000247095,Intragenic,,intron
hsa-miR-6744,chr11:1256605-1256670[+],MUC5B,ENSG00000117983,,Intragenic,intron,
hsa-miR-4298,chr11:1859464-1859536[-],LSP1,ENSG00000130592,,Intragenic,intron,
hsa-miR-7847,chr11:1880045-1880147[+],LSP1,ENSG00000130592,,Intragenic,exon,
hsa-miR-675,chr11:1996759-1996831[-],,,ENSG00000130600,Intragenic,,exon
hsa-miR-483,chr11:2134134-2134209[-],INS-IGF2,ENSG00000129965,,Intragenic,intron,
hsa-miR-4686,chr11:2173063-2173138[+],,,,Intergenic,,
hsa-miR-4687,chr11:3856062-3856141[+],STIM1,ENSG00000167323,,Intragenic,exon,
hsa-miR-302e,chr11:7234766-7234837[+],,,,Intergenic,,
hsa-miR-5691,chr11:9090312-9090379[-],SCUBE2,ENSG00000175356,ENSG00000286935,Intragenic,intron,exon
hsa-miR-4485,chr11:10508270-10508326[-],,,,Intergenic,,
hsa-miR-4299,chr11:11656651-11656722[-],,,,Intergenic,,
hsa-miR-8070,chr11:11783135-11783222[-],,,ENSG00000286959,Intragenic,,exon
hsa-miR-6124,chr11:12163683-12163767[+],MICAL2,ENSG00000133816,,Intragenic,intron,
hsa-miR-6073,chr11:15969533-15969621[-],SOX6,ENSG00000110693,,Intragenic,exon,
hsa-miR-3159,chr11:18387787-18387860[+],,,,Intergenic,,
hsa-miR-4486,chr11:19575310-19575372[+],NAV2,ENSG00000166833,,Intragenic,intron,
hsa-miR-4694,chr11:19760004-19760083[-],NAV2,ENSG00000166833,,Intragenic,intron,
hsa-miR-8054,chr11:23419105-23419190[-],,,,Intergenic,,
hsa-miR-8087,chr11:27514970-27515047[-],,,ENSG00000245573,Intragenic,,exon
hsa-miR-610,chr11:28056815-28056910[+],KIF18A,ENSG00000121621,,Intragenic,intron,
hsa-miR-8068,chr11:28477481-28477548[-],METTL15,ENSG00000169519,,Intragenic,intron,
hsa-miR-1343,chr11:34941837-34941920[+],PDHX,ENSG00000110435,,Intragenic,intron,
hsa-miR-3973,chr11:36010098-36010204[+],LDLRAD3,ENSG00000179241,,Intragenic,intron,
hsa-miR-670,chr11:43559656-43559753[+],,,ENSG00000283217,Intragenic,,intron
hsa-miR-129-2,chr11:43581394-43581483[+],,,ENSG00000283341,Intragenic,,intron
hsa-miR-7154,chr11:45691704-45691776[-],,,,Intergenic,,
hsa-miR-4688,chr11:46376402-46376484[+],DGKZ,ENSG00000149091,,Intragenic,intron,
hsa-miR-3160-1,chr11:46451805-46451889[-],AMBRA1,ENSG00000110497,,Intragenic,intron,
hsa-miR-3160-2,chr11:46451807-46451887[+],AMBRA1,ENSG00000110497,,Intragenic,intron,
hsa-miR-5582,chr11:46753125-46753192[-],CKAP5,ENSG00000175216,,Intragenic,intron,
hsa-miR-6745,chr11:47179611-47179737[-],PACSIN3,ENSG00000165912,,Intragenic,intron,
hsa-miR-4487,chr11:47400970-47401042[+],,,ENSG00000255197,Intragenic,,intron
hsa-miR-3161,chr11:48096782-48096858[+],PTPRJ,ENSG00000149177,,Intragenic,intron,
hsa-miR-6128,chr11:56743873-56743981[+],OR9G4,ENSG00000172457,,Intragenic,intron,
hsa-miR-130a,chr11:57641198-57641286[+],,,ENSG00000254602,Intragenic,,intron
hsa-miR-3162,chr11:59595077-59595158[-],OSBP,ENSG00000110048,ENSG00000255139,Intragenic,intron,intron
hsa-miR-6503,chr11:60209071-60209156[-],MS4A4E,ENSG00000214787,,Intragenic,intron,
hsa-miR-4488,chr11:61508596-61508657[+],,,,Intergenic,,
hsa-miR-611,chr11:61792495-61792561[-],TMEM258,ENSG00000134825,,Intragenic,exon,
hsa-miR-1908,chr11:61815161-61815240[-],FADS1,ENSG00000149485,,Intragenic,exon,
hsa-miR-6746,chr11:61878216-61878278[-],FADS3,ENSG00000221968,,Intragenic,intron,
hsa-miR-6747,chr11:62567011-62567071[-],EEF1G,ENSG00000254772,,Intragenic,intron,
hsa-miR-6748,chr11:62789815-62789885[+],TMEM179B,ENSG00000185475,,Intragenic,exon,
hsa-miR-6514,chr11:62792702-62792771[-],NXF1,ENSG00000162231,,Intragenic,intron,
hsa-miR-7155,chr11:64341849-64341904[-],CCDC88B,ENSG00000168071,,Intragenic,intron,
hsa-miR-1237,chr11:64368602-64368703[+],RPS6KA4,ENSG00000162302,,Intragenic,intron,
hsa-miR-192,chr11:64891137-64891246[-],,,ENSG00000229719,Intragenic,,exon
hsa-miR-194-2,chr11:64891355-64891439[-],,,ENSG00000229719,Intragenic,,exon
hsa-miR-6750,chr11:64898363-64898437[-],ATG2A,ENSG00000110046,,Intragenic,intron,
hsa-miR-6749,chr11:64902387-64902455[-],ATG2A,ENSG00000110046,,Intragenic,intron,
hsa-miR-6879,chr11:65018505-65018570[+],ARL2,ENSG00000213465,,Intragenic,intron,
hsa-miR-6751,chr11:65129916-65129978[-],SYVN1,ENSG00000162298,,Intragenic,exon,
hsa-miR-612,chr11:65444458-65444557[+],,,ENSG00000245532,Intragenic,,exon
hsa-miR-4690,chr11:65636310-65636369[+],PCNX3,ENSG00000197136,,Intragenic,intron,
hsa-miR-4489,chr11:65649192-65649253[+],SIPA1,ENSG00000213445,,Intragenic,intron,
hsa-miR-3163,chr11:66934434-66934506[-],PC,ENSG00000173599,,Intragenic,intron,
hsa-miR-6860,chr11:67045643-67045708[+],SYT12,ENSG00000173227,,Intragenic,intron,
hsa-miR-6752,chr11:67490245-67490315[+],AIP,ENSG00000110711,,Intragenic,intron,
hsa-miR-7113,chr11:68032864-68032922[+],NDUFS8,ENSG00000110717,,Intragenic,exon,
hsa-miR-4691,chr11:68033897-68033981[+],NDUFS8,ENSG00000110717,,Intragenic,exon,
hsa-miR-6753,chr11:68044794-68044957[+],TCIRG1,ENSG00000110719,,Intragenic,intron,
hsa-miR-3164,chr11:69083176-69083258[+],TPCN2,ENSG00000162341,,Intragenic,intron,
hsa-miR-548k,chr11:70283955-70284070[+],PPFIA1,ENSG00000131626,ENSG00000254604,Intragenic,intron,intron
hsa-miR-3664,chr11:70872270-70872368[-],SHANK2,ENSG00000162105,,Intragenic,intron,
hsa-miR-6754,chr11:71473503-71473568[+],NADSYN1,ENSG00000172890,,Intragenic,intron,
