miRNet_id,miRBase_acc,miRNA_ID,epi_regulator,epi_modification,miRNA_expression,PMID,epi_target,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
mirnet-hsaepi-0026,MI0000300,hsa-mir-223,AML1-ETO oncoprotein/HDAC1/DNMTs/MeCP2,H3ac/H4ac,UP,17996649,,leukemia,D007938,DOID_1240,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,
mirnet-hsaepi-0027,MI0000805,hsa-mir-342,DNMTs,DNA Methylation,UP,18264139,PDGFRA/RASA1,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
mirnet-hsaepi-0028,MI0000466,hsa-mir-9-1,DNMTs,DNA Methylation,UP,18314617,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
mirnet-hsaepi-0029,MI0000445,hsa-mir-124-3,DNMTs,DNA Methylation,UP,18314617,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
mirnet-hsaepi-0030,MI0000253,hsa-mir-148a,DNMTs,DNA Methylation,UP,18314617,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
mirnet-hsaepi-0031,MI0000462,hsa-mir-152,DNMTs,DNA Methylation,UP,18314617,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
mirnet-hsaepi-0032,MI0003672,hsa-mir-663a,DNMTs,DNA Methylation,UP,18314617,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
mirnet-hsaepi-0033,MI0000449,hsa-mir-132,DNMTs,DNA Methylation,DOWN,18381414,,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
mirnet-hsaepi-0034,MI0000742,hsa-mir-34b,DNMTs,DNA Methylation,UP,18381414,,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
mirnet-hsaepi-0035,MI0000454,hsa-mir-137,DNMTs,DNA Methylation,UP,18381414,CDK6,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
mirnet-hsaepi-0036,MI0000487,hsa-mir-193a,DNMTs,DNA Methylation,UP,18381414,E2F6,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
mirnet-hsaepi-0037,MI0000283,hsa-mir-203a,DNMTs,DNA Methylation,UP,18381414,,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
mirnet-hsaepi-0038,MIMAT0000422,hsa-mir-124-3p,DNMTs,DNA Methylation,UP,18451139,CDK6/C-EBPa,acute myeloid leukemia,D015470,DOID_9119,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,acute myeloid
mirnet-hsaepi-0039,MI0000472,hsa-mir-127,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0040,MI0000806,hsa-mir-337,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0041,MI0003133,hsa-mir-432,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0042,MI0003135,hsa-mir-495,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0043,MI0000776,hsa-mir-376c,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0044,MI0000784,hsa-mir-376a-1,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0045,MI0002466,hsa-mir-376b,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0046,MI0000785,hsa-mir-377,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0047,MI0002465,hsa-mir-410,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0048,MI0003143,hsa-mir-520e,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0049,MI0003145,hsa-mir-519e,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0050,MI0003162,hsa-mir-519d,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0051,MI0003180,mir-516a-1,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0052,MIMAT0002863,hsa-mir-518a-3p,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0053,MI0000780,hsa-mir-372,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0054,MI0001637,hsa-mir-448,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0055,MI0003194,hsa-mir-507,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0056,MI0001446,hsa-mir-424,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0057,MIMAT0002883,hsa-mir-514a-3p,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0058,MI0000069,hsa-mir-15a,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0059,MI0000481,hsa-mir-184,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0060,MI0000268,hsa-mir-34a,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0061,MI0000742,hsa-mir-34b,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0062,MI0000097,hsa-mir-95,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0063,MI0000272,hsa-mir-182,DNMTs,DNA Methylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0064,MI0000472,hsa-mir-127,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0065,MI0000806,hsa-mir-337,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0066,MI0003133,hsa-mir-432,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0067,MI0003135,hsa-mir-495,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0068,MI0000776,hsa-mir-376c,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0069,MI0000784,hsa-mir-376a-1,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0070,MI0002466,hsa-mir-376b,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0071,MI0000785,hsa-mir-377,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0072,MI0002465,hsa-mir-410,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0073,MI0003143,hsa-mir-520e,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0074,MI0003145,hsa-mir-519e,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0075,MI0003162,hsa-mir-519d,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0076,MI0003180,mir-516a-1,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0077,MIMAT0002863,hsa-mir-518a-3p,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0078,MI0000780,hsa-mir-372,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0079,MI0001637,hsa-mir-448,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0080,MI0003194,hsa-mir-507,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0081,MI0001446,hsa-mir-424,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0082,MIMAT0002883,hsa-mir-514a-3p,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0083,MI0000069,hsa-mir-15a,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0084,MI0000481,hsa-mir-184,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0085,MI0000268,hsa-mir-34a,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0086,MI0000742,hsa-mir-34b,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0087,MI0000097,hsa-mir-95,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0088,MI0000272,hsa-mir-182,HDACs,Histone Acetylation,DOWN,18458333,,human epithelial ovarian cancer,"D000077216,D006801,T016",DOID_2394,"Cancer, Genitourinary Conditions, Integumentary System",cell transformation,human
mirnet-hsaepi-0089,MIMAT0000422,hsa-mir-124-3p,DNMTs,DNA Methylation,DOWN,18519671,,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
mirnet-hsaepi-0090,MI0000472,hsa-mir-127,DNMTs,DNA Methylation,DOWN,18519671,,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
mirnet-hsaepi-0091,MI0000742,hsa-mir-34b,DNMT-1/DNMT-3b,DNA Methylation,UP,18519671,MET/CDK4/CCNE2/CAV1/MYB/SFRS2,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
mirnet-hsaepi-0092,MI0000743,hsa-mir-34c,DNMT-1/DNMT-3b,DNA Methylation,UP,18519671,MET/CDK4/CCNE2/CAV1/MYB/SFRS2,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
mirnet-hsaepi-0093,MI0000742,hsa-mir-34b,,H3K4me3,DOWN,18519671,MET/CDK4/CCNE2/CAV1/MYB/SFRS2,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
mirnet-hsaepi-0094,MI0000743,hsa-mir-34c,,H3K4me3,DOWN,18519671,MET/CDK4/CCNE2/CAV1/MYB/SFRS2,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
mirnet-hsaepi-0095,MI0000283,hsa-mir-203a,DNMTs,DNA Methylation,UP,18538733,ABL1/BCR-ABL1,leukemias,D007938,,"Cancer, Hematopoietic & Lymphatic Conditions",leukemias,
mirnet-hsaepi-0096,MI0000454,hsa-mir-137,DNMTs,DNA Methylation,DOWN,18577219,CDK6,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
mirnet-hsaepi-0097,MIMAT0000252,hsa-mir-7-5p,DNMTs,DNA Methylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0098,MI0000440,hsa-mir-27b,DNMTs,DNA Methylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0099,MIMAT0000226,hsa-mir-196a-5p,DNMTs,DNA Methylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0100,MI0001446,hsa-mir-424,DNMTs,DNA Methylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0101,MI0003136,hsa-mir-496,DNMTs,DNA Methylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0102,MI0000239,hsa-mir-197,DNMTs,DNA Methylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0103,MIMAT0000099,hsa-mir-101-3p,DNMTs,DNA Methylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0104,MIMAT0000416,hsa-mir-1,DNMT-1,DNA Methylation,UP,18593903,FoxP1/MET/HDAC4,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0105,MIMAT0000416,hsa-mir-1,HDACs,Histone Acetylation,DOWN,18593903,FoxP1/MET/HDAC4,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0106,MIMAT0000252,hsa-mir-7-5p,HDACs,Histone Acetylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0107,MI0000440,hsa-mir-27b,HDACs,Histone Acetylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0108,MIMAT0000226,hsa-mir-196a-5p,HDACs,Histone Acetylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0109,MI0001446,hsa-mir-424,HDACs,Histone Acetylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0110,MI0003136,hsa-mir-496,HDACs,Histone Acetylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0111,MI0000239,hsa-mir-197,HDACs,Histone Acetylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0112,MIMAT0000099,hsa-mir-101-3p,HDACs,Histone Acetylation,DOWN,18593903,,hepatocellular carcinogenesis,D063646,,"Cancer, Digestive & Gastrointestinal Conditions",hepatocellular carcinogenesis,
mirnet-hsaepi-0113,MI0000268,hsa-mir-34a,DNMTs,DNA Methylation,UP,18719384,CDK6,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0114,MI0000268,hsa-mir-34a,HDACs,Histone Modification,DOWN,18719384,CDK6,human cancer,"D006801,D009369,T016",DOID_162,Cancer,cancer,human
mirnet-hsaepi-0115,MI0000102,hsa-mir-100,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0116,MI0000103,hsa-mir-101-1,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0117,MI0000739,hsa-mir-101-2,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0118,MI0000113,hsa-mir-106a,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0119,MI0000471,hsa-mir-126,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0120,MIMAT0000444,hsa-mir-126-5p,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0121,MI0000449,hsa-mir-132,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0122,MI0000452,hsa-mir-135a-1,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0123,MI0000461,hsa-mir-145,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0124,MI0000262,hsa-mir-147a,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0125,MI0000811,hsa-mir-148b,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0126,MI0000479,hsa-mir-150,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0127,MI0000809,hsa-mir-151a,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0128,MI0000462,hsa-mir-152,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0129,MI0000681,hsa-mir-155,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0130,MI0000438,hsa-mir-15b,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0131,MI0000071,hsa-mir-17,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
mirnet-hsaepi-0132,MI0000269,hsa-mir-181a-2,DNMTs,DNA Methylation,DOWN,18768788,,cancer metastasis,"D009362,D009369",DOID_162,Cancer,metastasis,
