miRNet_id,miRBase_acc,miRNA_ID,TF_gene,TF_gene_entrez,TF_gene_embl,TF_action_type,PMID
miRNet-hsatf-30,MI0000272,hsa-mir-182,AR,367,ENSG00000169083,Activation,27109471
miRNet-hsatf-31,MI0000072,hsa-mir-18a,AR,367,ENSG00000169083,Activation,27501757
miRNet-hsatf-32,MI0000486,hsa-mir-190a,AR,367,ENSG00000169083,Repression(feedback),26314494
miRNet-hsatf-33,MI0000073,hsa-mir-19a,AR,367,ENSG00000169083,Activation,23451058
miRNet-hsatf-34,MI0000073,hsa-mir-19a,AR,367,ENSG00000169083,Activation,27501757
miRNet-hsatf-35,MI0000074,hsa-mir-19b-1,AR,367,ENSG00000169083,Activation,27501757
miRNet-hsatf-36,MI0000076,hsa-mir-20a,AR,367,ENSG00000169083,Activation,27501757
miRNet-hsatf-37,MI0000077,hsa-mir-21,AR,367,ENSG00000169083,Activation,19738047
miRNet-hsatf-38,MI0000292,hsa-mir-216a,AR,367,ENSG00000169083,Activation,22392644
miRNet-hsatf-39,MI0000085,hsa-mir-27a,AR,367,ENSG00000169083,Activation(feedback),23451058
miRNet-hsatf-40,MI0000090,hsa-mir-32,AR,367,ENSG00000169083,Regulation,28598253
miRNet-hsatf-41,MI0003514,hsa-mir-539,AR,367,ENSG00000169083,Activation,27869170
miRNet-hsatf-42,MI0000093,hsa-mir-92a-1,AR,367,ENSG00000169083,Activation,27501757
miRNet-hsatf-43,MI0000101,hsa-mir-99a,AR,367,ENSG00000169083,Repression,23503464
miRNet-hsatf-44,MI0000734,hsa-mir-106b,ARNT,405,ENSG00000143437,Activation,24798859
miRNet-hsatf-45,MI0000082,hsa-mir-25,ARNT,405,ENSG00000143437,Activation,24798859
miRNet-hsatf-46,MI0000095,hsa-mir-93,ARNT,405,ENSG00000143437,Activation(feedback),24798859
miRNet-hsatf-47,MI0000457,hsa-mir-141,ASCL2,430,ENSG00000183734,Repression,25371200
miRNet-hsatf-48,MI0000737,hsa-mir-200a,ASCL2,430,ENSG00000183734,Repression,25371200
miRNet-hsatf-49,MI0000342,hsa-mir-200b,ASCL2,430,ENSG00000183734,Repression,25371200
miRNet-hsatf-50,MI0000650,hsa-mir-200c,ASCL2,430,ENSG00000183734,Repression,25371200
miRNet-hsatf-51,MI0001641,hsa-mir-429,ASCL2,430,ENSG00000183734,Repression,25371200
miRNet-hsatf-52,MI0000783,hsa-mir-375,ASH1L,55870,ENSG00000116539,Activation,21856745
miRNet-hsatf-53,MI0000281,hsa-mir-199a-2,ATF3,467,ENSG00000162772,Repression,27573019
miRNet-hsatf-54,MI0003602,hsa-mir-590,ATF3,467,ENSG00000162772,Repression(feedback),25150595
miRNet-hsatf-55,MI0000734,hsa-mir-106b,ATF4,468,ENSG00000128272,Repression,22739985
miRNet-hsatf-56,MI0000082,hsa-mir-25,ATF4,468,ENSG00000128272,Repression(feedback),22739985
miRNet-hsatf-57,MI0000095,hsa-mir-93,ATF4,468,ENSG00000128272,Repression,22739985
miRNet-hsatf-58,MI0000471,hsa-mir-126,ATOH8,84913,ENSG00000168874,Activation,27780851
miRNet-hsatf-59,MI0000298,hsa-mir-221,ATOH8,84913,ENSG00000168874,Repression,27780851
miRNet-hsatf-60,MI0000298,hsa-mir-221,BANP,54971,ENSG00000172530,Repression,23876508
miRNet-hsatf-61,MI0000299,hsa-mir-222,BANP,54971,ENSG00000172530,Repression,23876508
miRNet-hsatf-62,MI0000735,hsa-mir-29c,BCL2L2,599,ENSG00000129473,Activation(feedback),22850539
miRNet-hsatf-63,MI0000681,hsa-mir-155,BCL6,604,ENSG00000113916,Repression(feedback),23166356
miRNet-hsatf-64,MI0000760,hsa-mir-361,BCL6,604,ENSG00000113916,Repression,23166356
miRNet-hsatf-65,MI0000681,hsa-mir-155,BCR,613,ENSG00000186716,Activation,18048365
miRNet-hsatf-66,MI0000434,hsa-let-7i,BMI1,648,ENSG00000168283,Repression,22407364
miRNet-hsatf-67,MI0000457,hsa-mir-141,BMI1,648,ENSG00000168283,Repression,27105531
miRNet-hsatf-68,MI0000650,hsa-mir-200c,BMI1,648,ENSG00000168283,Repression(feedback),27105531
miRNet-hsatf-69,MI0000089,hsa-mir-31,BMI1,648,ENSG00000168283,Repression,25737447
miRNet-hsatf-70,MI0000080,hsa-mir-24-1,BMP2,650,ENSG00000125845,Activation,19285018
miRNet-hsatf-71,MI0000089,hsa-mir-31,BMP2,650,ENSG00000125845,Activation,19285018
miRNet-hsatf-72,MI0000461,hsa-mir-145,BMP4,652,ENSG00000125378,Activation,21673106
miRNet-hsatf-73,MI0000737,hsa-mir-200a,BMP4,652,ENSG00000125378,Activation,20621051
miRNet-hsatf-74,MI0000342,hsa-mir-200b,BMP4,652,ENSG00000125378,Activation,20621051
miRNet-hsatf-75,MI0000650,hsa-mir-200c,BMP4,652,ENSG00000125378,Activation,20621051
miRNet-hsatf-76,MI0000285,hsa-mir-205,BMP4,652,ENSG00000125378,Activation,20621051
miRNet-hsatf-77,MI0000077,hsa-mir-21,BMP6,654,ENSG00000153162,Repression(feedback),19308091
miRNet-hsatf-78,MI0000071,hsa-mir-17,BMPR1A,657,ENSG00000107779,Activation,24068957
miRNet-hsatf-79,MI0000072,hsa-mir-18a,BMPR1A,657,ENSG00000107779,Activation,24068957
miRNet-hsatf-80,MI0000073,hsa-mir-19a,BMPR1A,657,ENSG00000107779,Activation,24068957
miRNet-hsatf-81,MI0000074,hsa-mir-19b-1,BMPR1A,657,ENSG00000107779,Activation,24068957
miRNet-hsatf-82,MI0000076,hsa-mir-20a,BMPR1A,657,ENSG00000107779,Activation,24068957
miRNet-hsatf-83,MI0000077,hsa-mir-21,BMPR1A,657,ENSG00000107779,Regulation,20130193
miRNet-hsatf-84,MI0000093,hsa-mir-92a-1,BMPR1A,657,ENSG00000107779,Activation(feedback),24068957
miRNet-hsatf-85,MI0000077,hsa-mir-21,BMPR1B,658,ENSG00000138696,Regulation,20130193
miRNet-hsatf-86,MI0000477,hsa-mir-146a,BRCA1,672,ENSG00000012048,Activation(feedback),19190326
miRNet-hsatf-87,MI0000477,hsa-mir-146a,BRCA1,672,ENSG00000012048,Regulation(feedback),22936386
miRNet-hsatf-88,MI0000477,hsa-mir-146a,BRCA1,672,ENSG00000012048,Activation(feedback),25417703
miRNet-hsatf-89,MI0003129,hsa-mir-146b,BRCA1,672,ENSG00000012048,Activation,19190326
miRNet-hsatf-90,MI0000462,hsa-mir-152,BRCA1,672,ENSG00000012048,Regulation,22936386
miRNet-hsatf-91,MI0000681,hsa-mir-155,BRCA1,672,ENSG00000012048,Regulation,22936386
miRNet-hsatf-92,MI0000681,hsa-mir-155,BRCA1,672,ENSG00000012048,Repression,25800897
miRNet-hsatf-93,MI0000681,hsa-mir-155,BRCA1,672,ENSG00000012048,Repression,27596294
miRNet-hsatf-94,MI0000285,hsa-mir-205,BRCA1,672,ENSG00000012048,Regulation,22936386
miRNet-hsatf-95,MI0003605,hsa-mir-593,BRCA1,672,ENSG00000012048,Activation,25912308
miRNet-hsatf-96,MI0000746,hsa-mir-99b,BRCA1,672,ENSG00000012048,Regulation,22936386
miRNet-hsatf-97,MI0000477,hsa-mir-146a,BRD4,23476,ENSG00000141867,Activation,26855180
miRNet-hsatf-98,MI0000681,hsa-mir-155,BRD4,23476,ENSG00000141867,Activation,26855180
miRNet-hsatf-99,MI0000457,hsa-mir-141,BRD7,29117,ENSG00000166164,Repression,27010857
miRNet-hsatf-100,MI0000681,hsa-mir-155,CAMP,820,ENSG00000164047,Activation,20209161
miRNet-hsatf-101,MI0000298,hsa-mir-221,CBFB,865,ENSG00000067955,Regulation(feedback),25612891
miRNet-hsatf-102,MI0000466,hsa-mir-9-1,CBX7,23492,ENSG00000100307,Repression(feedback),26416703
miRNet-hsatf-103,MI0000467,hsa-mir-9-2,CBX7,23492,ENSG00000100307,Repression(feedback),26416703
miRNet-hsatf-104,MI0000071,hsa-mir-17,CCND1,595,ENSG00000110092,Activation(feedback),18695042
miRNet-hsatf-105,MI0000071,hsa-mir-17,CCND1,595,ENSG00000110092,Activation(feedback),28090171
miRNet-hsatf-106,MI0000072,hsa-mir-18a,CCND1,595,ENSG00000110092,Activation(feedback),28090171
miRNet-hsatf-107,MI0000073,hsa-mir-19a,CCND1,595,ENSG00000110092,Activation(feedback),28090171
miRNet-hsatf-108,MI0000074,hsa-mir-19b-1,CCND1,595,ENSG00000110092,Activation(feedback),28090171
miRNet-hsatf-109,MI0000076,hsa-mir-20a,CCND1,595,ENSG00000110092,Activation(feedback),18695042
miRNet-hsatf-110,MI0000076,hsa-mir-20a,CCND1,595,ENSG00000110092,Activation(feedback),28090171
miRNet-hsatf-111,MI0000093,hsa-mir-92a-1,CCND1,595,ENSG00000110092,Activation,28090171
miRNet-hsatf-112,MI0000457,hsa-mir-141,CDK4,1019,ENSG00000135446,Activation,24163379
miRNet-hsatf-113,MI0003129,hsa-mir-146b,CDK4,1019,ENSG00000135446,Activation,24163379
miRNet-hsatf-114,MI0000272,hsa-mir-182,CDKN1A,1026,ENSG00000124762,Regulation,24277930
miRNet-hsatf-115,MI0000273,hsa-mir-183,CDKN1A,1026,ENSG00000124762,Regulation,24277930
miRNet-hsatf-116,MI0000098,hsa-mir-96,CDKN1A,1026,ENSG00000124762,Regulation(feedback),24277930
miRNet-hsatf-117,MI0000457,hsa-mir-141,CDKN2A,1029,ENSG00000147889,Activation,24163379
miRNet-hsatf-118,MI0003129,hsa-mir-146b,CDKN2A,1029,ENSG00000147889,Activation,24163379
miRNet-hsatf-119,MI0002465,hsa-mir-410,CDKN2A,1029,ENSG00000147889,Activation,21170085
miRNet-hsatf-120,MI0000291,hsa-mir-215,CDX1,1044,ENSG00000113722,Activation,25775580
miRNet-hsatf-121,MI0003628,hsa-mir-615,CDX2,1045,ENSG00000165556,Activation,26269116
miRNet-hsatf-122,MI0000060,hsa-let-7a-1,CEBPA,1050,ENSG00000245848,Activation,26962302
miRNet-hsatf-123,MI0000061,hsa-let-7a-2,CEBPA,1050,ENSG00000245848,Regulation,21365266
miRNet-hsatf-124,MI0000102,hsa-mir-100,CEBPA,1050,ENSG00000245848,Activation,26404754
miRNet-hsatf-125,MI0000739,hsa-mir-101-2,CEBPA,1050,ENSG00000245848,Activation(feedback),28217257
miRNet-hsatf-126,MI0000442,hsa-mir-122,CEBPA,1050,ENSG00000245848,Activation,20842632
miRNet-hsatf-127,MI0000442,hsa-mir-122,CEBPA,1050,ENSG00000245848,Activation,26933995
miRNet-hsatf-128,MI0000446,hsa-mir-125b-1,CEBPA,1050,ENSG00000245848,Activation(feedback),25982911
miRNet-hsatf-129,MI0000474,hsa-mir-134,CEBPA,1050,ENSG00000245848,Activation,26823765
miRNet-hsatf-130,MI0000272,hsa-mir-182,CEBPA,1050,ENSG00000245848,Repression(feedback),28663557
miRNet-hsatf-131,MI0000300,hsa-mir-223,CEBPA,1050,ENSG00000245848,Activation,16325577
miRNet-hsatf-132,MI0000300,hsa-mir-223,CEBPA,1050,ENSG00000245848,Activation,17482553
miRNet-hsatf-133,MI0000300,hsa-mir-223,CEBPA,1050,ENSG00000245848,Regulation,20018373
miRNet-hsatf-134,MI0000087,hsa-mir-29a,CEBPA,1050,ENSG00000245848,Regulation,20628397
miRNet-hsatf-135,MI0000736,hsa-mir-30c-1,CEBPA,1050,ENSG00000245848,Activation,23974200
miRNet-hsatf-136,MI0000254,hsa-mir-30c-2,CEBPA,1050,ENSG00000245848,Activation,23974200
miRNet-hsatf-137,MI0000268,hsa-mir-34a,CEBPA,1050,ENSG00000245848,Activation,20889924
miRNet-hsatf-138,MI0000268,hsa-mir-34a,CEBPA,1050,ENSG00000245848,Regulation,20889924
miRNet-hsatf-139,MI0000459,hsa-mir-143,CEBPB,1051,ENSG00000172216,Activation,22354042
miRNet-hsatf-140,MI0000459,hsa-mir-143,CEBPB,1051,ENSG00000172216,Activation,24080728
miRNet-hsatf-141,MI0000459,hsa-mir-143,CEBPB,1051,ENSG00000172216,Activation,27626488
miRNet-hsatf-142,MI0000461,hsa-mir-145,CEBPB,1051,ENSG00000172216,Activation,27626488
miRNet-hsatf-143,MI0003129,hsa-mir-146b,CEBPB,1051,ENSG00000172216,Activation,24589738
miRNet-hsatf-144,MI0000071,hsa-mir-17,CEBPB,1051,ENSG00000172216,Repression,26868909
miRNet-hsatf-145,MI0000271,hsa-mir-181c,CEBPB,1051,ENSG00000172216,Activation,24789793
miRNet-hsatf-146,MI0000072,hsa-mir-18a,CEBPB,1051,ENSG00000172216,Repression,26868909
miRNet-hsatf-147,MI0000240,hsa-mir-198,CEBPB,1051,ENSG00000172216,Activation,24080728
miRNet-hsatf-148,MI0000073,hsa-mir-19a,CEBPB,1051,ENSG00000172216,Repression,26868909
miRNet-hsatf-149,MI0000074,hsa-mir-19b-1,CEBPB,1051,ENSG00000172216,Repression,26868909
miRNet-hsatf-150,MI0000076,hsa-mir-20a,CEBPB,1051,ENSG00000172216,Repression,26868909
miRNet-hsatf-151,MI0000300,hsa-mir-223,CEBPB,1051,ENSG00000172216,Activation,25867276
miRNet-hsatf-152,MI0000089,hsa-mir-31,CEBPB,1051,ENSG00000172216,Activation,25229239
miRNet-hsatf-153,MI0001446,hsa-mir-424,CEBPB,1051,ENSG00000172216,Repression,23724129
miRNet-hsatf-154,MI0003188,hsa-mir-503,CEBPB,1051,ENSG00000172216,Repression,23724129
miRNet-hsatf-155,MI0003686,hsa-mir-542,CEBPB,1051,ENSG00000172216,Activation,26272182
miRNet-hsatf-156,MI0000093,hsa-mir-92a-1,CEBPB,1051,ENSG00000172216,Repression,26868909
miRNet-hsatf-157,MI0003137,hsa-mir-193b,CEBPD,1052,ENSG00000221869,Activation,27918099
miRNet-hsatf-158,MI0003137,hsa-mir-193b,CFTR,1080,ENSG00000001626,Activation,22797075
miRNet-hsatf-159,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,Activation,17994015
miRNet-hsatf-160,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,Activation,21059906
miRNet-hsatf-161,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,Activation,21868695
miRNet-hsatf-162,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,Activation,21892154
miRNet-hsatf-163,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,Regulation,22916239
miRNet-hsatf-164,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,Activation,25617893
miRNet-hsatf-165,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,Activation,27294355
miRNet-hsatf-166,MI0000449,hsa-mir-132,CREB1,1385,ENSG00000118260,Activation,27634380
miRNet-hsatf-167,MI0000253,hsa-mir-148a,CREB1,1385,ENSG00000118260,Activation,26001136
miRNet-hsatf-168,MI0000438,hsa-mir-15b,CREB1,1385,ENSG00000118260,Activation(feedback),26931521
miRNet-hsatf-169,MI0000077,hsa-mir-21,CREB1,1385,ENSG00000118260,Activation,21555366
miRNet-hsatf-170,MI0000288,hsa-mir-212,CREB1,1385,ENSG00000118260,Activation,21059906
miRNet-hsatf-171,MI0000288,hsa-mir-212,CREB1,1385,ENSG00000118260,Activation,21892154
miRNet-hsatf-172,MI0000288,hsa-mir-212,CREB1,1385,ENSG00000118260,Activation,25617893
miRNet-hsatf-173,MI0000079,hsa-mir-23a,CREB1,1385,ENSG00000118260,Activation,23019365
miRNet-hsatf-174,MI0000738,hsa-mir-302a,CREB1,1385,ENSG00000118260,Activation,26472185
miRNet-hsatf-175,MI0000542,hsa-mir-320a,CREB1,1385,ENSG00000118260,Activation,26472185
miRNet-hsatf-176,MI0000816,hsa-mir-335,CREB1,1385,ENSG00000118260,Activation,23696749
miRNet-hsatf-177,MI0000781,hsa-mir-373,CREB1,1385,ENSG00000118260,Activation,23857777
miRNet-hsatf-178,MI0003644,hsa-mir-630,CREB1,1385,ENSG00000118260,Activation,26263387
miRNet-hsatf-179,MI0000466,hsa-mir-9-1,CREB1,1385,ENSG00000118260,Activation(feedback),23185366
miRNet-hsatf-180,MI0000466,hsa-mir-9-1,CREB1,1385,ENSG00000118260,Activation(feedback),26091714
miRNet-hsatf-181,MI0000467,hsa-mir-9-2,CREB1,1385,ENSG00000118260,Regulation(feedback),20624818
miRNet-hsatf-182,MI0000077,hsa-mir-21,CREBBP,1387,ENSG00000005339,Activation,21555366
miRNet-hsatf-183,MI0000077,hsa-mir-21,CREBBP,1387,ENSG00000005339,Activation,24983504
miRNet-hsatf-184,MI0000446,hsa-mir-125b-1,CTCF,10664,ENSG00000102974,Regulation,23056006
miRNet-hsatf-185,MI0000783,hsa-mir-375,CTCF,10664,ENSG00000102974,Repression,20978187
miRNet-hsatf-186,MI0000783,hsa-mir-375,CTCF,10664,ENSG00000102974,Regulation,23056006
miRNet-hsatf-187,MI0000443,hsa-mir-124-1,CTNNB1,1499,ENSG00000168036,Activation(feedback),26071557
miRNet-hsatf-188,MI0000444,hsa-mir-124-2,CTNNB1,1499,ENSG00000168036,Activation(feedback),26071557
miRNet-hsatf-189,MI0000445,hsa-mir-124-3,CTNNB1,1499,ENSG00000168036,Activation(feedback),26071557
miRNet-hsatf-190,MI0000477,hsa-mir-146a,CTNNB1,1499,ENSG00000168036,Activation,24561623
miRNet-hsatf-191,MI0000479,hsa-mir-150,CTNNB1,1499,ENSG00000168036,Activation(feedback),27285761
miRNet-hsatf-192,MI0000272,hsa-mir-182,CTNNB1,1499,ENSG00000168036,Activation,23333633
miRNet-hsatf-193,MI0000272,hsa-mir-182,CTNNB1,1499,ENSG00000168036,Activation,24335145
miRNet-hsatf-194,MI0000272,hsa-mir-182,CTNNB1,1499,ENSG00000168036,Activation,25755709
miRNet-hsatf-195,MI0000272,hsa-mir-182,CTNNB1,1499,ENSG00000168036,Activation,25813403
miRNet-hsatf-196,MI0000273,hsa-mir-183,CTNNB1,1499,ENSG00000168036,Activation(feedback),24335145
miRNet-hsatf-197,MI0000273,hsa-mir-183,CTNNB1,1499,ENSG00000168036,Activation(feedback),25813403
miRNet-hsatf-198,MI0000749,hsa-mir-30e,CTNNB1,1499,ENSG00000168036,Activation,20372961
miRNet-hsatf-199,MI0000268,hsa-mir-34a,CTNNB1,1499,ENSG00000168036,Activation(feedback),25792709
miRNet-hsatf-200,MI0000780,hsa-mir-372,CTNNB1,1499,ENSG00000168036,Activation,22020335
miRNet-hsatf-201,MI0000781,hsa-mir-373,CTNNB1,1499,ENSG00000168036,Activation,22020335
miRNet-hsatf-202,MI0005118,hsa-mir-770,CTNNB1,1499,ENSG00000168036,Activation,26602384
miRNet-hsatf-203,MI0000098,hsa-mir-96,CTNNB1,1499,ENSG00000168036,Activation,24335145
miRNet-hsatf-204,MI0000098,hsa-mir-96,CTNNB1,1499,ENSG00000168036,Activation,25813403
miRNet-hsatf-205,MI0000290,hsa-mir-214,CUX1,1523,ENSG00000257923,Activation,21654638
miRNet-hsatf-206,MI0000442,hsa-mir-122,CXADR,1525,ENSG00000154639,Repression,22815988
miRNet-hsatf-207,MI0005543,hsa-mir-708,DDIT3,1649,ENSG00000175197,Activation,21402790
miRNet-hsatf-208,MI0000272,hsa-mir-182,DDX5,1655,ENSG00000108654,Activation,22086602
miRNet-hsatf-209,MI0000077,hsa-mir-21,DDX5,1655,ENSG00000108654,Activation(feedback),22086602
miRNet-hsatf-210,MI0000342,hsa-mir-200b,DDX53,168400,ENSG00000184735,Repression(feedback),24174534
miRNet-hsatf-211,MI0000459,hsa-mir-143,DDX6,1656,ENSG00000110367,Repression(feedback),23932921
miRNet-hsatf-212,MI0000461,hsa-mir-145,DDX6,1656,ENSG00000110367,Repression(feedback),23932921
miRNet-hsatf-213,MI0000285,hsa-mir-205,DEC1,50514,ENSG00000173077,Repression,26183399
miRNet-hsatf-214,MI0000468,hsa-mir-9-3,DLX5,1749,ENSG00000105880,Activation,25937343
miRNet-hsatf-215,MI0000458,hsa-mir-142,DNMT1,1786,ENSG00000130816,Repression,24332177
miRNet-hsatf-216,MI0000253,hsa-mir-148a,DNMT1,1786,ENSG00000130816,Regulation(feedback),22935141
miRNet-hsatf-217,MI0000253,hsa-mir-148a,DNMT1,1786,ENSG00000130816,Repression(feedback),25328136
miRNet-hsatf-218,MI0000479,hsa-mir-150,DNMT1,1786,ENSG00000130816,Repression,26258416
miRNet-hsatf-219,MI0000462,hsa-mir-152,DNMT1,1786,ENSG00000130816,Regulation(feedback),22935141
miRNet-hsatf-220,MI0000481,hsa-mir-184,DNMT1,1786,ENSG00000130816,Repression,27470638
miRNet-hsatf-221,MI0000737,hsa-mir-200a,DNMT1,1786,ENSG00000130816,Repression(feedback),25595591
miRNet-hsatf-222,MI0000342,hsa-mir-200b,DNMT1,1786,ENSG00000130816,Repression(feedback),25595591
miRNet-hsatf-223,MI0000439,hsa-mir-23b,DNMT1,1786,ENSG00000130816,Repression,28077801
miRNet-hsatf-224,MI0000440,hsa-mir-27b,DNMT1,1786,ENSG00000130816,Repression,25333344
miRNet-hsatf-225,MI0000747,hsa-mir-296,DNMT1,1786,ENSG00000130816,Repression,26898758
miRNet-hsatf-226,MI0000088,hsa-mir-30a,DNMT1,1786,ENSG00000130816,Repression(feedback),28222434
miRNet-hsatf-227,MI0001641,hsa-mir-429,DNMT1,1786,ENSG00000130816,Repression(feedback),25595591
miRNet-hsatf-228,MI0000063,hsa-let-7b,DNMT3A,1788,ENSG00000119772,Repression,27525719
miRNet-hsatf-229,MI0000087,hsa-mir-29a,DNMT3A,1788,ENSG00000119772,Repression(feedback),23939044
miRNet-hsatf-230,MI0000105,hsa-mir-29b-1,DNMT3A,1788,ENSG00000119772,Repression(feedback),23939044
miRNet-hsatf-231,MI0000293,hsa-mir-217,DNMT3B,1789,ENSG00000088305,Repression,25703328
miRNet-hsatf-232,MI0000087,hsa-mir-29a,DNMT3B,1789,ENSG00000088305,Repression(feedback),23939044
miRNet-hsatf-233,MI0000105,hsa-mir-29b-1,DNMT3B,1789,ENSG00000088305,Repression(feedback),23939044
miRNet-hsatf-234,MI0003135,hsa-mir-495,DOK7,285489,ENSG00000175920,Activation,28454357
miRNet-hsatf-235,MI0000300,hsa-mir-223,DPF2,5977,ENSG00000133884,Repression,24332853
miRNet-hsatf-236,MI0000077,hsa-mir-21,DTX1,1840,ENSG00000135144,Activation,23451269
miRNet-hsatf-237,MI0000434,hsa-let-7i,E2F1,1869,ENSG00000101412,Activation,20404092
miRNet-hsatf-238,MI0000113,hsa-mir-106a,E2F1,1869,ENSG00000101412,Regulation(feedback),19034270
miRNet-hsatf-239,MI0000734,hsa-mir-106b,E2F1,1869,ENSG00000101412,Regulation(feedback),19034270
miRNet-hsatf-240,MI0000734,hsa-mir-106b,E2F1,1869,ENSG00000101412,Activation(feedback),20404092
miRNet-hsatf-241,MI0000069,hsa-mir-15a,E2F1,1869,ENSG00000101412,Activation(feedback),20404092
miRNet-hsatf-242,MI0000069,hsa-mir-15a,E2F1,1869,ENSG00000101412,Activation(feedback),21454377
miRNet-hsatf-243,MI0000069,hsa-mir-15a,E2F1,1869,ENSG00000101412,Activation(feedback),27356624
miRNet-hsatf-244,MI0000438,hsa-mir-15b,E2F1,1869,ENSG00000101412,Activation,20404092
miRNet-hsatf-245,MI0000438,hsa-mir-15b,E2F1,1869,ENSG00000101412,Activation,21454377
miRNet-hsatf-246,MI0000070,hsa-mir-16-1,E2F1,1869,ENSG00000101412,Activation,21454377
miRNet-hsatf-247,MI0000115,hsa-mir-16-2,E2F1,1869,ENSG00000101412,Activation,21454377
miRNet-hsatf-248,MI0000071,hsa-mir-17,E2F1,1869,ENSG00000101412,Activation(feedback),17135249
miRNet-hsatf-249,MI0000071,hsa-mir-17,E2F1,1869,ENSG00000101412,Regulation(feedback),19034270
miRNet-hsatf-250,MI0000071,hsa-mir-17,E2F1,1869,ENSG00000101412,Activation(feedback),19066217
miRNet-hsatf-251,MI0000481,hsa-mir-184,E2F1,1869,ENSG00000101412,Activation,27470638
miRNet-hsatf-252,MI0000072,hsa-mir-18a,E2F1,1869,ENSG00000101412,Activation(feedback),17135249
miRNet-hsatf-253,MI0000072,hsa-mir-18a,E2F1,1869,ENSG00000101412,Activation(feedback),19066217
miRNet-hsatf-254,MI0001518,hsa-mir-18b,E2F1,1869,ENSG00000101412,Regulation,19034270
miRNet-hsatf-255,MI0000489,hsa-mir-195,E2F1,1869,ENSG00000101412,Activation,20404092
miRNet-hsatf-256,MI0000073,hsa-mir-19a,E2F1,1869,ENSG00000101412,Activation,17135249
miRNet-hsatf-257,MI0000073,hsa-mir-19a,E2F1,1869,ENSG00000101412,Activation,19066217
