miRNA_ID,miRNA_expression,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-let-7b,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7b,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7b,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7b,DOWN,glioma,D005910,,Cancer,glioma,
hsa-let-7b,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7b,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7b,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7b,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7b,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7b,DOWN,malignant melanoma,D008545,DOID_1909,"Cancer, Integumentary System",melanoma,malignant
hsa-let-7b,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7b,DOWN,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-let-7b,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7b,DOWN,papillary thyroid carcinoma,D000077273,DOID_3969,"Cancer, Endocrine and Metabolic Conditions",carcinoma,papillary thyroid
hsa-let-7b,DOWN,renal clear cell carcinoma,"D002277,D002477,T025",DOID_4467,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal clear cell
hsa-let-7b-5p,DOWN,chronic myelogenous leukemia,D015464,DOID_8552,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic myelogenous
hsa-let-7c,DOWN,acute myeloid leukemia,D015470,DOID_9119,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,acute myeloid
hsa-let-7c,DOWN,acute promyelocytic leukemia,D015473,DOID_0060318,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,acute promyelocytic
hsa-let-7c,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7c,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7c,DOWN,bronchioloalveolar carcinoma,D002282,DOID_4926,"Cancer, Respiratory Conditions",carcinoma,bronchioloalveolar
hsa-let-7c,DOWN,cholangiocarcinoma,D018281,DOID_4947,"Cancer, Digestive & Gastrointestinal Conditions",cholangiocarcinoma,
hsa-let-7c,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7c,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7c,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7c,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7c,DOWN,glioma,D005910,,Cancer,glioma,
hsa-let-7c,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7c,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7c,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7c,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7c,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7c,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7c,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7c,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7c,DOWN,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-let-7c,DOWN,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non-small cell lung cancer,
hsa-let-7c,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7c,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-let-7c,DOWN,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-let-7c,DOWN,renal clear cell carcinoma,"D002277,D002477,T025",DOID_4467,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal clear cell
hsa-let-7d,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7d,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7d,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7d,DOWN,bronchioloalveolar carcinoma,D002282,DOID_4926,"Cancer, Respiratory Conditions",carcinoma,bronchioloalveolar
hsa-let-7d,DOWN,chronic myelogenous leukemia,D015464,DOID_8552,"Cancer, Hematopoietic & Lymphatic Conditions",leukemia,chronic myelogenous
hsa-let-7d,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7d,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7d,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7d,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7d,DOWN,head and neck squamous cell carcinoma,D000077195,DOID_5520,"Cancer, Integumentary System, Cells",carcinoma,head and neck squamous cell
hsa-let-7d,UP,head and neck squamous cell carcinoma,D000077195,DOID_5520,"Cancer, Integumentary System, Cells",carcinoma,head and neck squamous cell
hsa-let-7d,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7d,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7d,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7d,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7d,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7d,DOWN,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-let-7d,DOWN,oral cancer,D009062,DOID_162,"Cancer, Teeth and Mouth Conditions",oral cancer,
hsa-let-7d,DOWN,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-let-7d,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7d,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7d,DOWN,renal cell carcinoma,D002292,DOID_4450,"Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-let-7e,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7e,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7e,DOWN,bronchioloalveolar carcinoma,D002282,DOID_4926,"Cancer, Respiratory Conditions",carcinoma,bronchioloalveolar
hsa-let-7e,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7e,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-let-7e,DOWN,colorectal cancer,D015179,DOID_9256,Cancer,colorectal cancer,
hsa-let-7e,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7e,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7e,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7e,DOWN,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-let-7e,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7e,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7e,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7e,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7e,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7e,DOWN,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-let-7e,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7e,UP,papillary thyroid carcinoma,D000077273,DOID_3969,"Cancer, Endocrine and Metabolic Conditions",carcinoma,papillary thyroid
hsa-let-7f,DOWN,glioma,D005910,,Cancer,glioma,
hsa-let-7f,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7f,DOWN,oral squamous cell carcinoma,D000077195,DOID_0050866,"Cancer, Integumentary System, Teeth and Mouth Conditions, Cells",carcinoma,oral squamous cell
hsa-let-7f-1,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7f-1,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7f-1,DOWN,bronchioloalveolar carcinoma,D002282,DOID_4926,"Cancer, Respiratory Conditions",carcinoma,bronchioloalveolar
hsa-let-7f-1,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7f-1,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7f-1,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7f-1,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7f-1,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7f-1,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7f-1,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7f-1,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7f-1,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7f-1,DOWN,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-let-7f-1,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7f-2,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7f-2,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
hsa-let-7f-2,DOWN,bronchioloalveolar carcinoma,D002282,DOID_4926,"Cancer, Respiratory Conditions",carcinoma,bronchioloalveolar
hsa-let-7f-2,DOWN,colon cancer,D003110,DOID_219,"Cancer, Digestive & Gastrointestinal Conditions",colon cancer,
hsa-let-7f-2,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7f-2,DOWN,esophageal squamous cell carcinoma,D000077277,DOID_1749,"Cancer, Digestive & Gastrointestinal Conditions, Integumentary System, Cells",carcinoma,esophageal squamous cell
hsa-let-7f-2,DOWN,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
hsa-let-7f-2,DOWN,hepatocellular carcinoma,D006528,DOID_684,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-let-7f-2,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7f-2,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7f-2,DOWN,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7f-2,DOWN,nasopharyngeal carcinoma,D000077274,DOID_9261,"Cancer, Eyes/Nose/Ears",carcinoma,nasopharyngeal
hsa-let-7f-2,DOWN,neuroblastoma,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
hsa-let-7f-2,DOWN,pancreatic ductal adenocarcinoma,"D000230,D010183",DOID_3498,"Cancer, Digestive & Gastrointestinal Conditions, Breast Conditions",adenocarcinoma,pancreatic ductal
hsa-let-7g,DOWN,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
