PMID,miRNA_ID,miRBase_acc,Drug,CID,SMILES,miRNA_expression,Drug_effect,Target_gene,Regulation,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
18246122,hsa-mir-96,MI0000098,TRAIL therapy,,,UP,Sensitive,,,non-small cell lung cancer,D055752,"CL_0000000,DOID_1324","Cancer, Respiratory Conditions, Cells",non small cell lung cancer,
18449891,hsa-mir-15b,MI0000438,Vincristine,5978;62313;3717450;5388993;45358158;71296921,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9C7[C@@](C=CC9)(C([C@@](C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7[C@@](C=CC9)([C@H]([C@@](C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9C7[C@@](C=CC9)([C@H]([C@@](C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,DOWN,Sensitive,BCL-2,,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
18449891,hsa-mir-16-1,MI0000070,Vincristine,5978;62313;3717450;5388993;45358158;71296921,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9C7[C@@](C=CC9)(C([C@@](C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7[C@@](C=CC9)([C@H]([C@@](C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9C7[C@@](C=CC9)([C@H]([C@@](C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,DOWN,Sensitive,BCL-2,,gastric cancer,D013274,DOID_10534,"Cancer, Digestive & Gastrointestinal Conditions",gastric cancer,
18493594,hsa-mir-17,MI0000071,Chemotherapy,,,DOWN,Resistant,P21,,neuroblastoma ,D009447,DOID_769,"Cancer, Neurological Conditions",neuroblastoma,
18619946,hsa-mir-27a,MI0000085,Hydroxyurea,3657,C(=O)(N)NO,DOWN,Resistant,MDR1,,cervix carcinoma,"D002277,D002584",DOID_2893,Cancer,carcinoma,cervix
18619946,hsa-mir-27a,MI0000085,Hydroxyurea,3657,C(=O)(N)NO,DOWN,Resistant,MDR1,,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
18619946,hsa-mir-27a,MI0000085,Vinblastine,13342;241903;5388983;6710780,CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,DOWN,Resistant,MDR1,,cervix carcinoma,"D002277,D002584",DOID_2893,Cancer,carcinoma,cervix
18619946,hsa-mir-27a,MI0000085,Vinblastine,13342;241903;5388983;6710780,CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,DOWN,Resistant,MDR1,,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
18619946,hsa-mir-451a,MI0001729,Hydroxyurea,3657,C(=O)(N)NO,DOWN,Resistant,MDR1,,cervix carcinoma,"D002277,D002584",DOID_2893,Cancer,carcinoma,cervix
18619946,hsa-mir-451a,MI0001729,Hydroxyurea,3657,C(=O)(N)NO,DOWN,Resistant,MDR1,,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
18619946,hsa-mir-451a,MI0001729,Vinblastine,13342;241903;5388983;6710780,CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,DOWN,Resistant,MDR1,,cervix carcinoma,"D002277,D002584",DOID_2893,Cancer,carcinoma,cervix
18619946,hsa-mir-451a,MI0001729,Vinblastine,13342;241903;5388983;6710780,CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O;CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,DOWN,Resistant,MDR1,,ovarian cancer,D010051,DOID_2394,"Cancer, Genitourinary Conditions",ovarian cancer,
18645025,hsa-let-7a-1,MI0000060,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-let-7b,MI0000063,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-let-7d,MI0000065,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-let-7f-1,MI0000067,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-let-7g,MI0000433,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-let-7i,MI0000434,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-100,MI0000102,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-103a-1,MI0000109,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-106a,MI0000113,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-106b,MI0000734,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-107,MI0000114,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-10a,MI0000266,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-125a,MI0000469,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-125b-1,MI0000446,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-127,MI0000472,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-128-2,MI0000727,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-130a,MI0000448,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-132,MI0000449,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-133a-1,MI0000450,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-133b,MI0000822,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-140,MI0000456,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-141,MI0000457,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-145,MI0000461,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-146b,MI0003129,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-148a,MI0000253,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-149,MI0000478,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-152,MI0000462,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-155,MI0000681,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-15a,MI0000069,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-15b,MI0000438,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-16-1,MI0000070,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-17,MI0000071,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-181b-1,MI0000270,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-181d,MI0003139,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-182,MI0000272,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-185,MI0000482,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-186,MI0000483,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-187,MI0000274,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-18a,MI0000072,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-18b,MI0001518,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-191,MI0000465,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-192,MI0000234,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-193b,MI0003137,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-194-1,MI0000488,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-195,MI0000489,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-196b,MI0001150,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-199a-1,MI0000242,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-199a-1,MI0000242,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-200a,MI0000737,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-200a,MI0000737,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-200b,MI0000342,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-200c,MI0000650,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-203a,MI0000283,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-205,MI0000285,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-206,MI0000490,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-20a,MI0000076,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-20b,MI0001519,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-210,MI0000286,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-212,MI0000288,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-214,MI0000290,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-215,MI0000291,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-22,MI0000078,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-221,MI0000298,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-222,MI0000299,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-224,MI0000301,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-23a,MI0000079,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-23b,MI0000439,Doxorubicin (Adriamycin),,,UP,Sensitive,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-25,MI0000082,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-26a-1,MI0000083,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-27a,MI0000085,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-27b,MI0000440,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-28,MI0000086,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-29a,MI0000087,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
18645025,hsa-mir-29b-1,MI0000105,Doxorubicin (Adriamycin),,,UP,Resistant,,,breast cancer,D001943,DOID_1612,"Cancer, Breast Conditions",breast cancer,
