miRNA_ID,miRBase_acc,TSS_position,TSS_score,TSS_CAGE,TSS_tag,TSS_DNase,TSS_H3K4me3,TSS_Pol II
hsa-mir-1179,MI0006272,chr15:88503627-88506287[+],737,YES,YES,YES,YES,NO
hsa-mir-1180,MI0006273,chr17:19447034-19447214[-],747,NO,YES,YES,NO,NO
hsa-mir-1180,MI0006273,chr17:19461334-19463334[-],827,YES,YES,YES,YES,YES
hsa-mir-1180,MI0006273,chr17:19464774-19465154[-],709,NO,NO,NO,NO,YES
hsa-mir-1180,MI0006273,chr17:19469974-19469994[-],712,NO,NO,YES,NO,NO
hsa-mir-1180,MI0006273,chr17:19470594-19470814[-],724,NO,NO,YES,NO,NO
hsa-mir-1180,MI0006273,chr17:19476514-19479634[-],801,YES,YES,YES,YES,YES
hsa-mir-1180,MI0006273,chr17:19484794-19484954[-],768,YES,YES,YES,NO,NO
hsa-mir-1180,MI0006273,chr17:19486714-19487874[-],711,YES,YES,YES,NO,NO
hsa-mir-1180,MI0006273,chr17:19498474-19498654[-],738,NO,NO,YES,NO,NO
hsa-mir-1180,MI0006273,chr17:19510854-19513274[-],717,YES,YES,YES,YES,NO
hsa-mir-1181,MI0006274,chr19:10503538-10505838[-],817,YES,YES,YES,YES,YES
hsa-mir-1181,MI0006274,chr19:10515858-10516958[-],768,YES,YES,YES,YES,YES
hsa-mir-1181,MI0006274,chr19:10519218-10521858[-],0.77,YES,YES,NO,YES,NO
hsa-mir-1181,MI0006274,chr19:10524018-10524998[-],0.8,YES,YES,YES,YES,NO
hsa-mir-1181,MI0006274,chr19:10530738-10532338[-],739,YES,YES,YES,YES,NO
hsa-mir-1181,MI0006274,chr19:10532918-10533178[-],716,YES,YES,YES,YES,NO
hsa-mir-1181,MI0006274,chr19:10533678-10533878[-],732,YES,YES,YES,NO,NO
hsa-mir-1181,MI0006274,chr19:10534898-10534918[-],701,YES,NO,YES,NO,NO
hsa-mir-1181,MI0006274,chr19:10551598-10551738[-],701,NO,YES,NO,YES,NO
hsa-mir-1181,MI0006274,chr19:10552658-10554698[-],747,YES,YES,NO,YES,NO
hsa-mir-1181,MI0006274,chr19:10561178-10561878[-],819,NO,YES,YES,YES,NO
hsa-mir-1181,MI0006274,chr19:10567098-10567398[-],703,YES,YES,NO,NO,NO
hsa-mir-1181,MI0006274,chr19:10568618-10569058[-],713,YES,YES,NO,NO,NO
hsa-mir-1181,MI0006274,chr19:10577798-10577818[-],702,NO,NO,NO,YES,NO
hsa-mir-1181,MI0006274,chr19:10578658-10579878[-],811,NO,YES,YES,YES,NO
hsa-mir-1181,MI0006274,chr19:10586338-10586698[-],707,NO,YES,NO,NO,NO
hsa-mir-1181,MI0006274,chr19:10589378-10589798[-],0.71,NO,YES,NO,NO,NO
hsa-mir-1181,MI0006274,chr19:10591598-10591618[-],703,NO,YES,YES,NO,NO
hsa-mir-1181,MI0006274,chr19:10592138-10592398[-],724,NO,YES,YES,NO,NO
hsa-mir-1181,MI0006274,chr19:10599938-10600478[-],705,NO,YES,NO,YES,NO
hsa-mir-1181,MI0006274,chr19:10601178-10602418[-],767,YES,YES,YES,YES,YES
hsa-mir-1182,MI0006275,chr1:231119924-231119924[-],705,NO,YES,NO,NO,NO
hsa-mir-1182,MI0006275,chr1:231127404-231127524[-],704,NO,YES,NO,NO,NO
hsa-mir-1182,MI0006275,chr1:231138064-231141264[-],802,YES,YES,YES,YES,NO
hsa-mir-1182,MI0006275,chr1:231153544-231154144[-],803,NO,NO,NO,YES,NO
hsa-mir-1183,MI0006276,chr7:21326878-21329058[+],868,YES,YES,YES,YES,YES
hsa-mir-1183,MI0006276,chr7:21330218-21332298[+],711,YES,YES,NO,YES,NO
hsa-mir-1184-1,MI0006277,chrX:154987538-154987878[-],741,NO,YES,NO,NO,NO
hsa-mir-1184-1,MI0006277,chrX:155017078-155018518[-],768,NO,YES,YES,YES,NO
hsa-mir-1184-1,MI0006277,chrX:155019618-155019638[-],716,NO,YES,NO,YES,NO
hsa-mir-1184-1,MI0006277,chrX:155079638-155081318[-],772,NO,NO,YES,YES,NO
hsa-mir-1184-1,MI0006277,chrX:155082398-155082418[-],714,NO,YES,NO,YES,NO
hsa-mir-1184-1,MI0006277,chrX:155535038-155535278[-],795,NO,NO,YES,NO,NO
hsa-mir-1184-1,MI0006277,chrX:155335037-155335217[+],814,NO,NO,YES,NO,NO
hsa-mir-1185-1,MI0003844,chr14:100871957-100872157[+],741,YES,YES,NO,NO,NO
hsa-mir-1185-1,MI0003844,chr14:100905517-100905737[+],913,NO,NO,YES,NO,NO
hsa-mir-1185-1,MI0003844,chr14:100921117-100921237[+],731,NO,NO,YES,NO,NO
hsa-mir-1185-1,MI0003844,chr14:100927577-100927717[+],706,NO,YES,YES,NO,NO
hsa-mir-1185-1,MI0003844,chr14:100929837-100930117[+],726,NO,YES,YES,NO,NO
hsa-mir-1185-1,MI0003844,chr14:100930797-100930917[+],722,NO,YES,YES,NO,NO
hsa-mir-1185-1,MI0003844,chr14:100931537-100931737[+],702,YES,YES,YES,NO,NO
hsa-mir-1185-1,MI0003844,chr14:100933697-100933897[+],728,NO,YES,YES,NO,NO
hsa-mir-1185-1,MI0003844,chr14:100935877-100935897[+],721,NO,YES,YES,NO,NO
hsa-mir-1185-2,MI0003821,chr14:100871978-100872138[+],747,YES,YES,NO,NO,NO
hsa-mir-1185-2,MI0003821,chr14:100905518-100905738[+],0.91,NO,NO,YES,NO,NO
hsa-mir-1185-2,MI0003821,chr14:100921118-100921238[+],729,NO,NO,YES,NO,NO
hsa-mir-1185-2,MI0003821,chr14:100927578-100927718[+],706,NO,YES,YES,NO,NO
hsa-mir-1185-2,MI0003821,chr14:100929838-100930118[+],724,NO,YES,YES,NO,NO
hsa-mir-1185-2,MI0003821,chr14:100930798-100930918[+],0.72,NO,YES,YES,NO,NO
hsa-mir-1185-2,MI0003821,chr14:100931538-100931738[+],701,YES,YES,YES,NO,NO
hsa-mir-1185-2,MI0003821,chr14:100933698-100933898[+],726,NO,YES,YES,NO,NO
hsa-mir-1185-2,MI0003821,chr14:100935878-100935898[+],718,NO,YES,YES,NO,NO
hsa-mir-1193,MI0014205,chr14:100871972-100872152[+],748,YES,YES,NO,NO,NO
hsa-mir-1193,MI0014205,chr14:100905532-100905732[+],936,NO,NO,YES,NO,NO
hsa-mir-1193,MI0014205,chr14:100921132-100921232[+],0.74,NO,NO,YES,NO,NO
hsa-mir-1193,MI0014205,chr14:100927592-100927732[+],709,NO,YES,YES,NO,NO
hsa-mir-1193,MI0014205,chr14:100929832-100930052[+],725,NO,YES,YES,NO,NO
hsa-mir-1197,MI0006656,chr14:100871984-100872144[+],741,YES,YES,NO,NO,NO
hsa-mir-1197,MI0006656,chr14:100905524-100905744[+],908,NO,NO,YES,NO,NO
hsa-mir-1197,MI0006656,chr14:100921124-100921224[+],728,NO,NO,YES,NO,NO
hsa-mir-1199,MI0020340,chr19:13878521-13879401[+],715,YES,YES,YES,YES,NO
hsa-mir-1199,MI0020340,chr19:13886581-13886621[+],732,YES,YES,YES,NO,NO
hsa-mir-1199,MI0020340,chr19:13887621-13887641[+],702,YES,YES,YES,NO,NO
hsa-mir-1199,MI0020340,chr19:13904681-13907521[+],777,YES,YES,YES,YES,YES
hsa-mir-1199,MI0020340,chr19:13923661-13923761[+],702,NO,NO,YES,NO,NO
hsa-mir-1199,MI0020340,chr19:13931161-13932541[+],774,YES,YES,YES,YES,YES
hsa-mir-1199,MI0020340,chr19:13948741-13948781[+],706,NO,YES,YES,NO,NO
hsa-mir-1199,MI0020340,chr19:13957161-13958061[+],724,YES,YES,YES,YES,NO
hsa-mir-1199,MI0020340,chr19:13971801-13973361[+],746,YES,YES,YES,YES,YES
hsa-mir-1-2,MI0000437,chr18:21931268-21931508[-],764,YES,YES,NO,NO,NO
hsa-mir-1-2,MI0000437,chr18:21997028-21997188[-],852,NO,YES,YES,NO,NO
hsa-mir-1200,MI0006332,chr7:37067432-37067572[-],885,NO,YES,YES,NO,NO
hsa-mir-1200,MI0006332,chr7:37082652-37086732[-],765,YES,YES,YES,YES,NO
hsa-mir-1200,MI0006332,chr7:37087252-37087372[-],0.85,YES,YES,YES,YES,NO
hsa-mir-1200,MI0006332,chr7:37105792-37105952[-],829,NO,YES,YES,NO,NO
hsa-mir-1203,MI0006335,chr17:48299131-48299691[-],818,YES,YES,NO,NO,NO
hsa-mir-1203,MI0006335,chr17:48341151-48341331[-],891,YES,YES,YES,NO,NO
hsa-mir-1204,MI0006337,chr8:127625782-127625962[+],727,NO,YES,YES,NO,NO
hsa-mir-1204,MI0006337,chr8:127634082-127640002[+],752,YES,YES,YES,YES,YES
hsa-mir-1204,MI0006337,chr8:127640522-127640922[+],728,YES,YES,NO,YES,YES
hsa-mir-1204,MI0006337,chr8:127654402-127654582[+],744,NO,NO,YES,NO,NO
hsa-mir-1204,MI0006337,chr8:127660942-127661122[+],728,NO,YES,YES,NO,NO
hsa-mir-1204,MI0006337,chr8:127693522-127695422[+],868,YES,YES,YES,YES,YES
hsa-mir-1205,MI0006338,chr8:127776593-127776993[+],722,NO,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127778053-127778373[+],718,NO,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127789053-127791373[+],712,YES,YES,YES,NO,NO
hsa-mir-1205,MI0006338,chr8:127792453-127792533[+],712,NO,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127794833-127794933[+],711,NO,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127796393-127796673[+],714,YES,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127797273-127797753[+],717,YES,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127814173-127814213[+],711,YES,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127816513-127816653[+],708,YES,YES,YES,NO,NO
hsa-mir-1205,MI0006338,chr8:127817713-127817933[+],0.81,NO,YES,YES,NO,NO
hsa-mir-1205,MI0006338,chr8:127825873-127828013[+],709,NO,YES,YES,NO,NO
hsa-mir-1205,MI0006338,chr8:127829213-127829233[+],713,YES,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127831833-127831973[+],713,NO,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127843653-127845453[+],759,NO,YES,NO,YES,NO
hsa-mir-1205,MI0006338,chr8:127846713-127846733[+],706,NO,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127847353-127847693[+],729,NO,YES,NO,NO,NO
hsa-mir-1205,MI0006338,chr8:127848693-127848933[+],706,NO,YES,YES,NO,NO
hsa-mir-1205,MI0006338,chr8:127849773-127850173[+],746,NO,YES,YES,NO,NO
hsa-mir-1205,MI0006338,chr8:127850893-127851013[+],796,NO,YES,YES,NO,NO
hsa-mir-1205,MI0006338,chr8:127854113-127854553[+],703,YES,YES,YES,NO,NO
hsa-mir-1205,MI0006338,chr8:127855113-127855553[+],731,YES,YES,YES,NO,NO
hsa-mir-1205,MI0006338,chr8:127856313-127856333[+],704,NO,YES,YES,NO,NO
hsa-mir-1206,MI0006339,chr8:127817718-127817878[+],756,NO,YES,YES,NO,NO
hsa-mir-1206,MI0006339,chr8:127826918-127826998[+],716,NO,YES,YES,NO,NO
hsa-mir-1206,MI0006339,chr8:127844498-127845438[+],734,NO,YES,NO,YES,NO
hsa-mir-1206,MI0006339,chr8:127847518-127847538[+],701,NO,YES,NO,NO,NO
hsa-mir-1206,MI0006339,chr8:127849798-127849998[+],721,NO,YES,YES,NO,NO
hsa-mir-1206,MI0006339,chr8:127855178-127855298[+],714,YES,YES,YES,NO,NO
hsa-mir-1206,MI0006339,chr8:127898958-127899278[+],822,YES,YES,NO,NO,NO
hsa-mir-1207,MI0006340,chr8:127855212-127855252[+],701,YES,YES,YES,NO,NO
hsa-mir-1207,MI0006340,chr8:127899012-127899272[+],842,YES,YES,NO,NO,NO
hsa-mir-1207,MI0006340,chr8:127914532-127914632[+],707,NO,YES,YES,NO,NO
hsa-mir-1207,MI0006340,chr8:127918952-127919112[+],727,NO,YES,YES,NO,NO
hsa-mir-1207,MI0006340,chr8:127928112-127928252[+],703,NO,YES,YES,NO,NO
hsa-mir-1208,MI0006341,chr8:127964776-127964856[+],731,NO,YES,NO,NO,NO
hsa-mir-1208,MI0006341,chr8:127969716-127970036[+],736,NO,YES,NO,NO,NO
hsa-mir-1208,MI0006341,chr8:127973276-127973396[+],735,YES,YES,NO,NO,NO
hsa-mir-1208,MI0006341,chr8:127977636-127977656[+],728,NO,YES,NO,NO,NO
hsa-mir-1208,MI0006341,chr8:127979016-127979036[+],732,YES,YES,NO,NO,NO
hsa-mir-1208,MI0006341,chr8:127990076-127990276[+],712,NO,YES,YES,NO,NO
hsa-mir-1208,MI0006341,chr8:127991176-127991556[+],804,NO,YES,YES,NO,NO
hsa-mir-1208,MI0006341,chr8:127995736-127995836[+],0.73,NO,YES,NO,NO,NO
hsa-mir-1208,MI0006341,chr8:128000876-128001096[+],734,NO,YES,NO,NO,NO
hsa-mir-1208,MI0006341,chr8:128007976-128008236[+],718,NO,YES,YES,NO,NO
hsa-mir-1208,MI0006341,chr8:128009056-128009436[+],773,NO,YES,YES,NO,NO
hsa-mir-1208,MI0006341,chr8:128040876-128041316[+],716,NO,YES,YES,NO,NO
hsa-mir-1208,MI0006341,chr8:128041936-128042356[+],766,NO,YES,YES,NO,NO
hsa-mir-1208,MI0006341,chr8:128043036-128043076[+],716,NO,YES,YES,NO,NO
hsa-mir-1208,MI0006341,chr8:128049996-128050116[+],731,YES,YES,NO,NO,NO
hsa-mir-122,MI0000442,chr18:58258594-58258854[+],727,NO,YES,NO,NO,NO
hsa-mir-122,MI0000442,chr18:58260694-58260714[+],723,NO,YES,NO,NO,NO
hsa-mir-122,MI0000442,chr18:58262454-58262614[+],725,YES,YES,NO,NO,NO
hsa-mir-122,MI0000442,chr18:58266054-58266154[+],724,YES,YES,NO,NO,NO
hsa-mir-122,MI0000442,chr18:58279674-58279774[+],724,NO,YES,NO,NO,NO
hsa-mir-122,MI0000442,chr18:58296694-58296834[+],725,YES,YES,NO,NO,NO
hsa-mir-122,MI0000442,chr18:58300074-58300134[+],724,YES,YES,NO,NO,NO
hsa-mir-122,MI0000442,chr18:58302014-58303434[+],725,NO,NO,YES,NO,YES
hsa-mir-122,MI0000442,chr18:58304334-58304354[+],714,NO,NO,YES,NO,YES
hsa-mir-122,MI0000442,chr18:58306974-58307494[+],0.72,NO,NO,NO,NO,YES
hsa-mir-122,MI0000442,chr18:58308054-58308474[+],748,NO,YES,NO,NO,YES
hsa-mir-122,MI0000442,chr18:58309674-58310234[+],746,NO,YES,NO,NO,YES
hsa-mir-122,MI0000442,chr18:58310754-58311274[+],0.71,NO,YES,NO,NO,YES
hsa-mir-122,MI0000442,chr18:58312574-58313074[+],718,YES,YES,NO,NO,YES
hsa-mir-122,MI0000442,chr18:58313674-58314314[+],833,YES,YES,NO,NO,YES
