miRNA_ID,miRBase_acc,precursor_miRNA_id,PMID,diagnostic_marker,prognostic_marker,tested_prognostic_outcome,Biomarker_sample_type,miRNA_expression,Cell_line,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-let-7d-5p,MIMAT0000065,hsa-let-7d,23922807,YES, , ,Plasma,DOWN,,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-let-7d-5p,MIMAT0000065,hsa-let-7d,23922807,YES, , ,Plasma,DOWN,,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-let-7e-5p,MIMAT0000066,hsa-let-7e,22472564,YES, , ,Serum,UP,thyroid,"thyroid cancer, papillary",D000077273,DOID_1781,"Cancer, Endocrine and Metabolic Conditions",thyroid cancer,papillary
hsa-let-7e-5p,MIMAT0000066,hsa-let-7e,22298030,YES, , ,Plasma,DOWN,prostate,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-let-7e-5p,MIMAT0000066,hsa-let-7e,24515954, ,NEGATIVE,severe knee or hip osteoarthritis,Serum,DOWN,knee/hip joints,osteoarthritis,D010003,DOID_8398,Musculoskeletal Conditions,osteoarthritis,
hsa-let-7e-5p,MIMAT0000066,hsa-let-7e,22472564,YES, , ,Serum,UP,thyroid,"thyroid cancer, papillary",D000077273,DOID_1781,"Cancer, Endocrine and Metabolic Conditions",thyroid cancer,papillary
hsa-let-7e-5p,MIMAT0000066,hsa-let-7e,22298030,YES, , ,Plasma,DOWN,prostate,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-let-7g-5p,MIMAT0000414,hsa-let-7g,23922807,YES, , ,Plasma,DOWN,,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-let-7g-5p,MIMAT0000414,hsa-let-7g,23922807,YES, , ,Plasma,DOWN,,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-let-7g-5p,MIMAT0000414,hsa-let-7g,24093444,YES, , ,Serum,UP,,metabolic syndrome,D024821,DOID_0111581,"Endocrine and Metabolic Conditions, Congenital/Hereditary Conditions, Syndrome",metabolic syndrome,
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,20159880,YES, , ,Plasma,UP,"heart, skeletal muscle",myocardial infarction,D009203,DOID_5844,Cardiovascular Conditions,myocardial infarction,
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,20696132,YES, , ,Serum,UP,"head, sinus, uterus, bladder, orbit",rhabdomyosarcoma,D012208,DOID_3247,Cancer,rhabdomyosarcoma,
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,31513283,YES, , ,Plasma,DOWN,,hepatitis b,D006509,DOID_2043,"Viral Infections, Infectious Diseases, Digestive & Gastrointestinal Conditions",hepatitis,b
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,25625292,YES, , ,Plasma,DOWN,,"tachycardia, supraventricular",D013617,SYMP_0000529,Cardiovascular Conditions,tachycardia,supraventricular
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,25625292,YES, , ,Plasma,DOWN,,"tachycardia, supraventricular",D013617,SYMP_0000529,Cardiovascular Conditions,tachycardia,supraventricular
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,19896465,YES, , ,Plasma,UP,,myocardial infarction,D009203,DOID_5844,Cardiovascular Conditions,myocardial infarction,
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,22719221,YES, , ,Plasma,UP,,myocardial infarction,D009203,DOID_5844,Cardiovascular Conditions,myocardial infarction,
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,21701171,YES, , ,Plasma,UP,heart/myocardium,st elevation myocardial infarction,D000072657,DOID_5844,Cardiovascular Conditions,myocardial infarction,st elevation
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,25625292,YES, , ,Plasma,DOWN,,tachycardia,D013610,SYMP_0000529,Cardiovascular Conditions,tachycardia,
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,31513283,YES, , ,Plasma,DOWN,,hepatitis b,D006509,DOID_2043,"Viral Infections, Infectious Diseases, Digestive & Gastrointestinal Conditions",hepatitis,b
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,24260372,YES, , ,Plasma,UP,,"angina, unstable",D000789,,Cardiovascular Conditions,angina,unstable
hsa-miR-1-3p,MIMAT0000416,hsa-mir-1-2|hsa-mir-1-1,24260372,YES, , ,Plasma,UP,,"angina, stable",D060050,,Cardiovascular Conditions,angina,stable
hsa-miR-100-5p,MIMAT0000098,hsa-mir-100,30530966, ,POSITIVE,overall survival,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-100-5p,MIMAT0000098,hsa-mir-100,30530966,YES, , ,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-100-5p,MIMAT0000098,hsa-mir-100,24431276,YES, , ,Serum,UP,,osteoporosis,D010024,DOID_11476,Musculoskeletal Conditions,osteoporosis,
hsa-miR-100-5p,MIMAT0000098,hsa-mir-100,30530966, ,POSITIVE,progression-free survival,Serum,DOWN,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-101-3p,MIMAT0000099,hsa-mir-101-1|hsa-mir-101-2,24971953,YES, , ,Serum,DOWN,liver,"carcinoma, hepatocellular",D006528,DOID_305,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-miR-101-3p,MIMAT0000099,hsa-mir-101-1|hsa-mir-101-2,24971953,YES, , ,Serum,UP,liver,liver cirrhosis,D008103,DOID_5082,Digestive & Gastrointestinal Conditions,liver cirrhosis,
hsa-miR-101-3p,MIMAT0000099,hsa-mir-101-1|hsa-mir-101-2,24260081,YES, , ,Serum,UP,,"carcinoma, hepatocellular",D006528,DOID_305,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-miR-103a-3p,MIMAT0000101,hsa-mir-103a-2|hsa-mir-103a-1,25547678, ,NEGATIVE,recurrence-free survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-103a-3p,MIMAT0000101,hsa-mir-103a-2|hsa-mir-103a-1,28179587,YES, , ,Plasma,DOWN,hippocampus,cognitive dysfunction,D060825,,Eyes/Nose/Ears,cognitive dysfunction,
hsa-miR-103a-3p,MIMAT0000101,hsa-mir-103a-2|hsa-mir-103a-1,25547678, ,NEGATIVE,recurrence-free survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-103a-3p,MIMAT0000101,hsa-mir-103a-2|hsa-mir-103a-1,25547678, ,NEGATIVE,overall survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-103a-3p,MIMAT0000101,hsa-mir-103a-2|hsa-mir-103a-1,28179587,YES, , ,Plasma,DOWN,hippocampus,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-miR-103a-3p,MIMAT0000101,hsa-mir-103a-2|hsa-mir-103a-1,25547678, ,NEGATIVE,recurrence-free survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-103a-3p,MIMAT0000101,hsa-mir-103a-2|hsa-mir-103a-1,28179587,YES, , ,Plasma,DOWN,hippocampus,alzheimer disease,D000544,DOID_10652,Neurological Conditions,alzheimer's disease,
hsa-miR-103a-3p,MIMAT0000101,hsa-mir-103a-2|hsa-mir-103a-1,25547678, ,NEGATIVE,overall survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-103a-3p,MIMAT0000101,hsa-mir-103a-2|hsa-mir-103a-1,25547678, ,NEGATIVE,overall survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-105-5p,MIMAT0000102,hsa-mir-105-1|hsa-mir-105-2,30936821,YES, , ,Plasma,UP,,parkinson disease,D010300,DOID_14330,Neurological Conditions,parkinson's disease,
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,28284220, ,NEGATIVE,disease-free survival,Serum,UP,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,21098088,YES, , ,Serum,UP,serum,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,28284220, ,NEGATIVE,disease-free survival,Serum,UP,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,24699363,YES, , ,Serum,UP,,"influenza, human",D007251,DOID_8469,Viral Infections,influenza,human
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,21098088, ,POSITIVE,risk of recurrence,Serum,UP,serum,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,24699363,YES, , ,Serum,UP,,"influenza, human",D007251,DOID_8469,Viral Infections,influenza,human
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,21546856,YES, , ,Serum,UP,bowel,crohn disease,D003424,DOID_8778,Digestive & Gastrointestinal Conditions,crohn disease,
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,28284220, ,NEGATIVE,overall survival,Serum,UP,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,28284220, ,NEGATIVE,overall survival,Serum,UP,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,28284220, ,NEGATIVE,overall survival,Serum,UP,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-106a-5p,MIMAT0000103,hsa-mir-106a,28284220, ,NEGATIVE,disease-free survival,Serum,UP,brain,glioblastoma,D005909,DOID_3068,Cancer,glioblastoma,
hsa-miR-106b-3p,MIMAT0004672,hsa-mir-106b,30210287, ,POSITIVE,bulbar onset,Plasma,DOWN,,amyotrophic lateral sclerosis,D000690,"DOID_0111227,DOID_332",Neurological Conditions,amyotrophic lateral sclerosis,
hsa-miR-106b-5p,MIMAT0000680,hsa-mir-106b,20234369,YES, , ,Plasma,UP,stomach,stomach neoplasms,D013274,UBERON_0000945,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,stomach
hsa-miR-106b-5p,MIMAT0000680,hsa-mir-106b,20234369,YES, , ,Plasma,UP,stomach,stomach neoplasms,D013274,UBERON_0000945,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,stomach
hsa-miR-106b-5p,MIMAT0000680,hsa-mir-106b,24586506,YES, , ,Serum,UP,motor neurons,amyotrophic lateral sclerosis,D000690,"DOID_0111227,DOID_332",Neurological Conditions,amyotrophic lateral sclerosis,
hsa-miR-107,MIMAT0000104,hsa-mir-107,28720759, ,POSITIVE,overall survival,Plasma,DOWN,,pancreatic neoplasms,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,pancreatic
hsa-miR-107,MIMAT0000104,hsa-mir-107,25547678, ,NEGATIVE,recurrence-free survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-107,MIMAT0000104,hsa-mir-107,25547678, ,NEGATIVE,overall survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-107,MIMAT0000104,hsa-mir-107,25547678, ,NEGATIVE,overall survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-107,MIMAT0000104,hsa-mir-107,28720759, ,POSITIVE,overall survival,Plasma,DOWN,,pancreatic neoplasms,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,pancreatic
hsa-miR-107,MIMAT0000104,hsa-mir-107,28720759, ,POSITIVE,disease-free survival,Plasma,DOWN,,pancreatic neoplasms,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,pancreatic
hsa-miR-107,MIMAT0000104,hsa-mir-107,28720759,YES, , ,Plasma,DOWN,,pancreatic neoplasms,D010190,DOID_1793,"Cancer, Digestive & Gastrointestinal Conditions",neoplasm,pancreatic
hsa-miR-107,MIMAT0000104,hsa-mir-107,25547678, ,NEGATIVE,recurrence-free survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-107,MIMAT0000104,hsa-mir-107,25547678, ,NEGATIVE,overall survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-107,MIMAT0000104,hsa-mir-107,25547678, ,NEGATIVE,recurrence-free survival,Serum,UP,breast,triple negative breast neoplasms,D064726,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,triple negative breast
hsa-miR-10a-5p,MIMAT0000253,hsa-mir-10a,25176944,YES, , ,Serum,DOWN,heart,graft rejection,D006084,,Immune and Autoimmune Conditions,graft rejection,
hsa-miR-10a-5p,MIMAT0000253,hsa-mir-10a,25176944,YES, , ,Serum,DOWN,heart,graft rejection,D006084,,Immune and Autoimmune Conditions,graft rejection,
hsa-miR-10b-5p,MIMAT0000254,hsa-mir-10b,21398193,YES, , ,Serum,UP,lung,lung neoplasms,D008175,DOID_1324,"Cancer, Respiratory Conditions",neoplasm,lung
hsa-miR-10b-5p,MIMAT0000254,hsa-mir-10b,21398193,YES, , ,Serum,UP,lung,lung neoplasms,D008175,DOID_1324,"Cancer, Respiratory Conditions",neoplasm,lung
hsa-miR-10b-5p,MIMAT0000254,hsa-mir-10b,21398193, ,NEGATIVE,lymph node metastasis,Serum,UP,lung,lung neoplasms,D008175,DOID_1324,"Cancer, Respiratory Conditions",neoplasm,lung
hsa-miR-10b-5p,MIMAT0000254,hsa-mir-10b,21398193, ,NEGATIVE,elevated serum tumor marker (TPA and uPA) levels,Serum,UP,lung,lung neoplasms,D008175,DOID_1324,"Cancer, Respiratory Conditions",neoplasm,lung
hsa-miR-1184,MIMAT0005829,hsa-mir-1184-1|hsa-mir-1184-2|hsa-mir-1184-3,27265125,YES, , ,Plasma,UP,prostate,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-miR-1207-5p,MIMAT0005871,hsa-mir-1207,21098088,YES, , ,Serum,UP,serum,prostatic neoplasms,D011471,DOID_10283,"Cancer, Genitourinary Conditions",neoplasm,prostatic
hsa-miR-122-3p,MIMAT0004590,hsa-mir-122,22045675,YES, , ,Serum,UP,serum,chemical and drug induced liver injury,D056486,"CHEBI_23888,UBERON_0002107",Digestive & Gastrointestinal Conditions,liver injury,chemical and drug induced
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,24282590, ,NEGATIVE,EGFR mutation status,Plasma,UP,,lung neoplasms,D008175,DOID_1324,"Cancer, Respiratory Conditions",neoplasm,lung
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,20930130,YES, , ,Plasma,UP,liver,chemical and drug induced liver injury,D056486,"CHEBI_23888,UBERON_0002107",Digestive & Gastrointestinal Conditions,liver injury,chemical and drug induced
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,25515554,YES, , ,Serum,UP,blood,obesity,D009765,"DOID_9970,SYMP_0020018",Endocrine and Metabolic Conditions,obesity,
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,29410711, ,POSITIVE,overall survival,Serum,UP,,"carcinoma, renal cell",D002292,"CL_0000000,DOID_305","Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,21886843,YES, , ,Serum,UP,liver,"hepatitis c, chronic",D019698,DOID_1883,"Viral Infections, Infectious Diseases, Digestive & Gastrointestinal Conditions",hepatitis,"c, chronic"
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,28670374,YES, , ,Plasma,UP,,"osteoarthritis, knee",D020370,"DOID_8398,UBERON_0001465",Musculoskeletal Conditions,osteoarthritis,knee
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,23118427,YES, , ,Serum,UP,endometrium/uterus,endometriosis,D004715,DOID_289,Genitourinary Conditions,endometriosis,
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,20930130,YES, , ,Plasma,UP,liver,chemical and drug induced liver injury,D056486,"CHEBI_23888,UBERON_0002107",Digestive & Gastrointestinal Conditions,liver injury,chemical and drug induced
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,28670374,YES, , ,Plasma,UP,,"osteoarthritis, knee",D020370,"DOID_8398,UBERON_0001465",Musculoskeletal Conditions,osteoarthritis,knee
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,24282590, ,NEGATIVE,overall survival,Plasma,UP,,lung neoplasms,D008175,DOID_1324,"Cancer, Respiratory Conditions",neoplasm,lung
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,24431276,YES, , ,Serum,UP,,osteoporosis,D010024,DOID_11476,Musculoskeletal Conditions,osteoporosis,
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,21886843,YES, , ,Serum,UP,liver,non-alcoholic fatty liver disease,D065626,DOID_9452,"Digestive & Gastrointestinal Conditions, Substance Abuse",fatty liver disease,non alcoholic
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,21886843, ,POSITIVE,disease severity,Serum,UP,liver,"hepatitis c, chronic",D019698,DOID_1883,"Viral Infections, Infectious Diseases, Digestive & Gastrointestinal Conditions",hepatitis,"c, chronic"
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,29849050,YES, , ,Serum,DOWN,bone,osteoporosis,D010024,DOID_11476,Musculoskeletal Conditions,osteoporosis,
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,22105822,YES, , ,Plasma,DOWN,,"carcinoma, hepatocellular",D006528,DOID_305,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,21886843, ,POSITIVE,disease severity,Serum,UP,liver,non-alcoholic fatty liver disease,D065626,DOID_9452,"Digestive & Gastrointestinal Conditions, Substance Abuse",fatty liver disease,non alcoholic
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,23383654,YES, , ,Serum,UP,liver,"hepatitis c, chronic",D019698,DOID_1883,"Viral Infections, Infectious Diseases, Digestive & Gastrointestinal Conditions",hepatitis,"c, chronic"
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,27194671, ,POSITIVE,TACE refractoriness,Plasma,UP,liver,"carcinoma, hepatocellular",D006528,DOID_305,"Cancer, Digestive & Gastrointestinal Conditions",carcinoma,hepatocellular
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,21886843,YES, , ,Serum,UP,liver,"hepatitis c, chronic",D019698,DOID_1883,"Viral Infections, Infectious Diseases, Digestive & Gastrointestinal Conditions",hepatitis,"c, chronic"
hsa-miR-122-5p,MIMAT0000421,hsa-mir-122,31568692,YES, , ,Plasma,UP,breast,breast neoplasms,D001943,UBERON_0000310,"Cancer, Breast Conditions",neoplasm,breast
hsa-miR-1233-3p,MIMAT0005588,hsa-mir-1233-1|hsa-mir-1233-2,21984948,YES, , ,Serum,UP,,"carcinoma, renal cell",D002292,"CL_0000000,DOID_305","Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-miR-1233-3p,MIMAT0005588,hsa-mir-1233-1|hsa-mir-1233-2,27150028,YES, , ,Serum,UP,,pulmonary embolism,D011655,DOID_9477,Respiratory Conditions,pulmonary embolism,
hsa-miR-1233-3p,MIMAT0005588,hsa-mir-1233-1|hsa-mir-1233-2,21984948,YES, , ,Serum,UP,,"carcinoma, renal cell",D002292,"CL_0000000,DOID_305","Cancer, Genitourinary Conditions, Cells",carcinoma,renal cell
hsa-miR-1233-3p,MIMAT0005588,hsa-mir-1233-1|hsa-mir-1233-2,25619197,YES, , ,Plasma,UP,heart,heart failure,D006333,SYMP_0000292,Cardiovascular Conditions,heart failure,
hsa-miR-1233-3p,MIMAT0005588,hsa-mir-1233-1|hsa-mir-1233-2,27150028,YES, , ,Serum,UP,,pulmonary embolism,D011655,DOID_9477,Respiratory Conditions,pulmonary embolism,
hsa-miR-1233-3p,MIMAT0005588,hsa-mir-1233-1|hsa-mir-1233-2,25619197,YES, , ,Plasma,UP,heart,heart failure,D006333,SYMP_0000292,Cardiovascular Conditions,heart failure,
hsa-miR-1233-3p,MIMAT0005588,hsa-mir-1233-1|hsa-mir-1233-2,27150028,YES, , ,Serum,UP,,pulmonary embolism,D011655,DOID_9477,Respiratory Conditions,pulmonary embolism,
hsa-miR-1233-3p,MIMAT0005588,hsa-mir-1233-1|hsa-mir-1233-2,27150028,YES, , ,Serum,UP,,pulmonary embolism,D011655,DOID_9477,Respiratory Conditions,pulmonary embolism,
hsa-miR-124-3p,MIMAT0000422,hsa-mir-124-1|hsa-mir-124-2|hsa-mir-124-3,24431276,YES, , ,Serum,UP,,osteoporosis,D010024,DOID_11476,Musculoskeletal Conditions,osteoporosis,
hsa-miR-1246,MIMAT0005898,hsa-mir-1246,23799609, ,POSITIVE,lymph node metastasis,Serum,UP,,uterine cervical neoplasms,D002583,DOID_4362,"Cancer, Genitourinary Conditions",neoplasm,uterine cervical
hsa-miR-1246,MIMAT0005898,hsa-mir-1246,23799609,YES, , ,Serum,UP,,uterine cervical neoplasms,D002583,DOID_4362,"Cancer, Genitourinary Conditions",neoplasm,uterine cervical
hsa-miR-125a-5p,MIMAT0000443,hsa-mir-125a,24517143,YES, , ,Serum,DOWN,,hypothyroidism,D007037,DOID_1459,Endocrine and Metabolic Conditions,hypothyroidism,
hsa-miR-125a-5p,MIMAT0000443,hsa-mir-125a,25619197,YES, , ,Plasma,UP,heart,heart failure,D006333,SYMP_0000292,Cardiovascular Conditions,heart failure,
hsa-miR-125a-5p,MIMAT0000443,hsa-mir-125a,24517143,YES, , ,Serum,DOWN,,atherosclerosis,D050197,DOID_1936,Cardiovascular Conditions,atherosclerosis,
hsa-miR-125a-5p,MIMAT0000443,hsa-mir-125a,24517143,YES, , ,Serum,DOWN,,atherosclerosis,D050197,DOID_1936,Cardiovascular Conditions,atherosclerosis,
hsa-miR-125a-5p,MIMAT0000443,hsa-mir-125a,25619197,YES, , ,Plasma,UP,heart,heart failure,D006333,SYMP_0000292,Cardiovascular Conditions,heart failure,
hsa-miR-125b-2-3p,MIMAT0004603,hsa-mir-125b-2,24447930,YES, , ,Blood,UP,brain,stroke,D020521,DOID_6713,"Cardiovascular Conditions, Neurological Conditions",stroke,
