miRNet_ID,miRBase_acc,miRNA_ID,snc_gene,snc_entrez,snc_embl
miRNet-snc-91,MIMAT0000680,hsa-mir-106b-5p,RNU1-131P,106480193,ENSG00000238833
miRNet-snc-92,MIMAT0000104,hsa-mir-107,SNORA59A,677885,ENSG00000239149
miRNet-snc-93,MIMAT0000104,hsa-mir-107,SNORD55,26811,ENSG00000264294
miRNet-snc-94,MIMAT0000104,hsa-mir-107,RNA5SP79,100873313,ENSG00000202063
miRNet-snc-95,MIMAT0000104,hsa-mir-107,SNORA19,641451,ENSG00000207468
miRNet-snc-96,MIMAT0000104,hsa-mir-107,SNORA53,677832,ENSG00000212443
miRNet-snc-97,MIMAT0000104,hsa-mir-107,RN7SKP8,100873852,ENSG00000222969
miRNet-snc-98,MIMAT0000104,hsa-mir-107,RNU2-32P,106481644,ENSG00000223125
miRNet-snc-99,MIMAT0000104,hsa-mir-107,RNA5SP524,111644143,ENSG00000201285
miRNet-snc-100,MIMAT0000253,hsa-mir-10a-5p,RNA5SP134,106480756,ENSG00000252301
miRNet-snc-101,MIMAT0000253,hsa-mir-10a-5p,RNA5SP165,100873430,ENSG00000252951
miRNet-snc-102,MIMAT0000253,hsa-mir-10a-5p,RNA5SP175,106480758,ENSG00000201145
miRNet-snc-103,MIMAT0000253,hsa-mir-10a-5p,SNORA65,26783,ENSG00000201302
miRNet-snc-104,MIMAT0000253,hsa-mir-10a-5p,RN7SKP297,106479227,ENSG00000223202
miRNet-snc-105,MIMAT0000253,hsa-mir-10a-5p,SCARNA11,677780,ENSG00000251898
miRNet-snc-106,MIMAT0000253,hsa-mir-10a-5p,RN7SKP71,106479126,ENSG00000201428
miRNet-snc-107,MIMAT0000253,hsa-mir-10a-5p,SCARNA13,677768,ENSG00000252481
miRNet-snc-108,MIMAT0000253,hsa-mir-10a-5p,SCARNA14,692149,ENSG00000252712
miRNet-snc-109,MIMAT0000253,hsa-mir-10a-5p,RNA5SP400,100873653,ENSG00000252964
miRNet-snc-110,MIMAT0000253,hsa-mir-10a-5p,RNA5SP429,106480767,ENSG00000200558
miRNet-snc-111,MIMAT0000253,hsa-mir-10a-5p,RN7SL316P,106479337,ENSG00000241631
miRNet-snc-112,MIMAT0000253,hsa-mir-10a-5p,RN7SL231P,106480984,ENSG00000240803
miRNet-snc-113,MIMAT0000254,hsa-mir-10b-5p,RNA5SP134,106480756,ENSG00000252301
miRNet-snc-114,MIMAT0000254,hsa-mir-10b-5p,RNA5SP165,100873430,ENSG00000252951
miRNet-snc-115,MIMAT0000254,hsa-mir-10b-5p,RNA5SP175,106480758,ENSG00000201145
miRNet-snc-116,MIMAT0000254,hsa-mir-10b-5p,SNORA65,26783,ENSG00000201302
miRNet-snc-117,MIMAT0000254,hsa-mir-10b-5p,RN7SKP297,106479227,ENSG00000223202
miRNet-snc-118,MIMAT0000254,hsa-mir-10b-5p,SCARNA11,677780,ENSG00000251898
miRNet-snc-119,MIMAT0000254,hsa-mir-10b-5p,RN7SKP71,106479126,ENSG00000201428
miRNet-snc-120,MIMAT0000254,hsa-mir-10b-5p,SCARNA13,677768,ENSG00000252481
miRNet-snc-121,MIMAT0000254,hsa-mir-10b-5p,SCARNA14,692149,ENSG00000252712
miRNet-snc-122,MIMAT0000254,hsa-mir-10b-5p,RNA5SP400,100873653,ENSG00000252964
miRNet-snc-123,MIMAT0000254,hsa-mir-10b-5p,RNA5SP429,106480767,ENSG00000200558
miRNet-snc-124,MIMAT0000254,hsa-mir-10b-5p,RN7SL316P,106479337,ENSG00000241631
miRNet-snc-125,MIMAT0000254,hsa-mir-10b-5p,RN7SL231P,106480984,ENSG00000240803
miRNet-snc-126,MIMAT0005824,hsa-mir-1179,SNORA14B,677802,ENSG00000207181
miRNet-snc-127,MIMAT0005824,hsa-mir-1179,RNU6-34P,100873749,ENSG00000201744
miRNet-snc-128,MIMAT0005824,hsa-mir-1179,RNA5SP190,100873452,ENSG00000202092
miRNet-snc-129,MIMAT0005824,hsa-mir-1179,RNA5SP222,100873481,ENSG00000222971
miRNet-snc-130,MIMAT0005824,hsa-mir-1179,SNORA14A,677801,ENSG00000201643
miRNet-snc-131,MIMAT0005824,hsa-mir-1179,RNA5SP259,100873513,ENSG00000202411
miRNet-snc-132,MIMAT0005824,hsa-mir-1179,RNU6-1244P,106481945,ENSG00000200484
miRNet-snc-133,MIMAT0005824,hsa-mir-1179,RNA5SP359,100873618,ENSG00000201708
miRNet-snc-134,MIMAT0005824,hsa-mir-1179,RNU2-32P,106481644,ENSG00000223125
miRNet-snc-135,MIMAT0005824,hsa-mir-1179,RNU6-698P,106481401,ENSG00000200393
miRNet-snc-136,MIMAT0005824,hsa-mir-1179,RN7SKP109,106479143,ENSG00000222524
miRNet-snc-137,MIMAT0005824,hsa-mir-1179,RNA5SP474,100873716,ENSG00000212536
miRNet-snc-138,MIMAT0026735,hsa-mir-1180-5p,SNORA80E,677823,ENSG00000207475
miRNet-snc-139,MIMAT0026735,hsa-mir-1180-5p,RN7SL689P,106481111,ENSG00000263432
miRNet-snc-140,MIMAT0026735,hsa-mir-1180-5p,RN7SL309P,106481007,ENSG00000239356
miRNet-snc-141,MIMAT0026735,hsa-mir-1180-5p,RNA5SP350,106481794,ENSG00000200168
miRNet-snc-142,MIMAT0026735,hsa-mir-1180-5p,RN7SL571P,106479431,ENSG00000243274
miRNet-snc-143,MIMAT0026735,hsa-mir-1180-5p,RNY4P2,6088,ENSG00000200510
miRNet-snc-144,MIMAT0026735,hsa-mir-1180-5p,RN7SKP100,106479139,ENSG00000223190
miRNet-snc-145,MIMAT0026735,hsa-mir-1180-5p,SCARNA23,677773,ENSG00000251869
miRNet-snc-146,MIMAT0026735,hsa-mir-1180-5p,RNA5SP520,106480771,ENSG00000252315
miRNet-snc-147,MIMAT0026735,hsa-mir-1180-5p,RNA5SP523,106480772,ENSG00000252667
miRNet-snc-148,MIMAT0005798,hsa-mir-1185-5p,RN7SKP78,106479129,ENSG00000201581
miRNet-snc-149,MIMAT0005798,hsa-mir-1185-5p,SNORA57,692158,ENSG00000206597
miRNet-snc-150,MIMAT0005798,hsa-mir-1185-5p,RN7SKP74,106479127,ENSG00000199719
miRNet-snc-151,MIMAT0005798,hsa-mir-1185-5p,RNU2-26P,106480414,ENSG00000222440
miRNet-snc-152,MIMAT0005798,hsa-mir-1185-5p,RNU2-57P,106480222,ENSG00000252468
miRNet-snc-153,MIMAT0015049,hsa-mir-1193,RN7SKP269,106480915,ENSG00000202415
miRNet-snc-154,MIMAT0015049,hsa-mir-1193,RN7SKP91,106480861,ENSG00000222784
miRNet-snc-155,MIMAT0015049,hsa-mir-1193,RN7SKP16,106480837,ENSG00000222112
miRNet-snc-156,MIMAT0015049,hsa-mir-1193,RNU4ATAC4P,106479539,ENSG00000252116
miRNet-snc-157,MIMAT0015049,hsa-mir-1193,RN7SKP229,106480904,ENSG00000222397
miRNet-snc-158,MIMAT0015049,hsa-mir-1193,RN7SKP165,106480367,ENSG00000223282
miRNet-snc-159,MIMAT0015049,hsa-mir-1193,RN7SKP55,106479119,ENSG00000201758
miRNet-snc-160,MIMAT0015049,hsa-mir-1193,RN7SKP203,106479185,ENSG00000200488
miRNet-snc-161,MIMAT0015049,hsa-mir-1193,RN7SKP102,106481810,ENSG00000223118
miRNet-snc-162,MIMAT0015049,hsa-mir-1193,RN7SKP281,106480369,ENSG00000222404
miRNet-snc-163,MIMAT0015049,hsa-mir-1193,RN7SKP38,106479112,ENSG00000222714
miRNet-snc-164,MIMAT0015049,hsa-mir-1193,RN7SKP124,106480871,ENSG00000201600
miRNet-snc-165,MIMAT0015049,hsa-mir-1193,RN7SKP25,106480364,ENSG00000199319
miRNet-snc-166,MIMAT0015049,hsa-mir-1193,RN7SKP292,106479225,ENSG00000202392
miRNet-snc-167,MIMAT0015049,hsa-mir-1193,RN7SKP36,106480458,ENSG00000200867
miRNet-snc-168,MIMAT0015049,hsa-mir-1193,RN7SKP170,106479171,ENSG00000199420
miRNet-snc-169,MIMAT0015049,hsa-mir-1193,RN7SKP199,106479184,ENSG00000222257
miRNet-snc-170,MIMAT0015049,hsa-mir-1193,RN7SKP30,106479108,ENSG00000223305
miRNet-snc-171,MIMAT0015049,hsa-mir-1193,RN7SKP48,106479116,ENSG00000201901
miRNet-snc-172,MIMAT0015049,hsa-mir-1193,RN7SKP28,106479107,ENSG00000201640
miRNet-snc-173,MIMAT0015049,hsa-mir-1193,RN7SKP137,106479156,ENSG00000223006
miRNet-snc-174,MIMAT0015049,hsa-mir-1193,RN7SKP237,106479200,ENSG00000201533
miRNet-snc-175,MIMAT0015049,hsa-mir-1193,RN7SKP133,106481812,ENSG00000201715
miRNet-snc-176,MIMAT0015049,hsa-mir-1193,RN7SKP230,106479197,ENSG00000202512
miRNet-snc-177,MIMAT0015049,hsa-mir-1193,RNU4ATAC13P,106479543,ENSG00000251741
miRNet-snc-178,MIMAT0015049,hsa-mir-1193,RN7SKP117,106479147,ENSG00000222107
miRNet-snc-179,MIMAT0015049,hsa-mir-1193,RN7SKP232,106480905,ENSG00000222102
miRNet-snc-180,MIMAT0015049,hsa-mir-1193,RN7SKP186,106480692,ENSG00000202241
miRNet-snc-181,MIMAT0015049,hsa-mir-1193,RN7SK,125050,ENSG00000283293
miRNet-snc-182,MIMAT0015049,hsa-mir-1193,RN7SKP163,106479168,ENSG00000200091
miRNet-snc-183,MIMAT0015049,hsa-mir-1193,RN7SKP211,106479189,ENSG00000200198
miRNet-snc-184,MIMAT0015049,hsa-mir-1193,RN7SKP268,106479215,ENSG00000223039
miRNet-snc-185,MIMAT0015049,hsa-mir-1193,RNU4ATAC18P,106481866,ENSG00000251988
miRNet-snc-186,MIMAT0015049,hsa-mir-1193,RN7SKP130,106480873,ENSG00000201794
miRNet-snc-187,MIMAT0015049,hsa-mir-1193,RN7SKP86,106480859,ENSG00000222386
miRNet-snc-188,MIMAT0015049,hsa-mir-1193,RN7SKP280,106479220,ENSG00000201066
miRNet-snc-189,MIMAT0015049,hsa-mir-1193,RN7SKP159,106480468,ENSG00000222589
miRNet-snc-190,MIMAT0015049,hsa-mir-1193,RN7SL709P,106481116,ENSG00000241032
miRNet-snc-191,MIMAT0015049,hsa-mir-1193,RN7SKP294,106479226,ENSG00000199640
miRNet-snc-192,MIMAT0015049,hsa-mir-1193,RN7SKP231,106479198,ENSG00000200151
miRNet-snc-193,MIMAT0015049,hsa-mir-1193,RNU6ATAC41P,106481869,ENSG00000221527
miRNet-snc-194,MIMAT0015049,hsa-mir-1193,RN7SKP153,106481813,ENSG00000201896
miRNet-snc-195,MIMAT0015049,hsa-mir-1193,RNU4ATAC15P,106479544,ENSG00000252224
miRNet-snc-196,MIMAT0015049,hsa-mir-1193,RN7SKP47,106481974,ENSG00000202217
miRNet-snc-197,MIMAT0015049,hsa-mir-1193,RN7SKP87,106479133,ENSG00000200966
miRNet-snc-198,MIMAT0015049,hsa-mir-1193,RN7SKP191,106480471,ENSG00000201583
miRNet-snc-199,MIMAT0015049,hsa-mir-1193,RNA5SP296,100873549,ENSG00000222455
miRNet-snc-200,MIMAT0015049,hsa-mir-1193,RN7SKP78,106479129,ENSG00000201581
miRNet-snc-201,MIMAT0015049,hsa-mir-1193,RN7SKP37,106480844,ENSG00000201364
miRNet-snc-202,MIMAT0015049,hsa-mir-1193,RN7SKP50,106480459,ENSG00000201564
miRNet-snc-203,MIMAT0015049,hsa-mir-1193,RN7SKP151,106479162,ENSG00000222162
miRNet-snc-204,MIMAT0015049,hsa-mir-1193,RN7SKP90,106481809,ENSG00000199883
miRNet-snc-205,MIMAT0015049,hsa-mir-1193,RN7SKP239,106480907,ENSG00000201684
miRNet-snc-206,MIMAT0015049,hsa-mir-1193,RN7SKP297,106479227,ENSG00000223202
miRNet-snc-207,MIMAT0015049,hsa-mir-1193,RN7SKP115,106479146,ENSG00000200047
miRNet-snc-208,MIMAT0015049,hsa-mir-1193,RN7SKP15,106480456,ENSG00000201612
miRNet-snc-209,MIMAT0015049,hsa-mir-1193,RN7SKP166,106481814,ENSG00000222744
miRNet-snc-210,MIMAT0015049,hsa-mir-1193,RN7SKP172,106480469,ENSG00000223273
miRNet-snc-211,MIMAT0015049,hsa-mir-1193,RN7SKP71,106479126,ENSG00000201428
miRNet-snc-212,MIMAT0015049,hsa-mir-1193,RN7SKP1,100873845,ENSG00000202395
miRNet-snc-213,MIMAT0015049,hsa-mir-1193,RN7SKP8,100873852,ENSG00000222969
miRNet-snc-214,MIMAT0015049,hsa-mir-1193,RN7SKP9,100873853,ENSG00000201793
miRNet-snc-215,MIMAT0015049,hsa-mir-1193,RN7SKP205,106479186,ENSG00000222931
miRNet-snc-216,MIMAT0015049,hsa-mir-1193,RN7SKP255,106479209,ENSG00000200312
miRNet-snc-217,MIMAT0015049,hsa-mir-1193,RN7SKP95,106480862,ENSG00000199730
miRNet-snc-218,MIMAT0015049,hsa-mir-1193,RN7SKP217,106479191,ENSG00000201510
miRNet-snc-219,MIMAT0015049,hsa-mir-1193,RN7SKP181,106479176,ENSG00000223120
miRNet-snc-220,MIMAT0015049,hsa-mir-1193,RN7SKP142,106480877,ENSG00000223168
miRNet-snc-221,MIMAT0015049,hsa-mir-1193,RN7SKP118,106633802,ENSG00000201201
miRNet-snc-222,MIMAT0015049,hsa-mir-1193,RN7SKP94,106480365,ENSG00000222976
miRNet-snc-223,MIMAT0015049,hsa-mir-1193,RN7SKP180,106480888,ENSG00000200783
miRNet-snc-224,MIMAT0015049,hsa-mir-1193,RN7SKP146,106479160,ENSG00000222174
miRNet-snc-225,MIMAT0015049,hsa-mir-1193,RN7SKP72,106481748,ENSG00000199197
miRNet-snc-226,MIMAT0015049,hsa-mir-1193,RN7SKP44,106479114,ENSG00000200472
miRNet-snc-227,MIMAT0015049,hsa-mir-1193,RN7SKP22,106481805,ENSG00000201967
miRNet-snc-228,MIMAT0015049,hsa-mir-1193,SNORD23,692091,ENSG00000221803
miRNet-snc-229,MIMAT0015049,hsa-mir-1193,RN7SKP74,106479127,ENSG00000199719
miRNet-snc-230,MIMAT0015049,hsa-mir-1193,RN7SKP271,106480916,ENSG00000222460
miRNet-snc-231,MIMAT0015049,hsa-mir-1193,RN7SKP185,106479178,ENSG00000199683
miRNet-snc-232,MIMAT0015049,hsa-mir-1193,RN7SKP173,106635535,ENSG00000199691
miRNet-snc-233,MIMAT0015049,hsa-mir-1193,RN7SKP100,106479139,ENSG00000223190
miRNet-snc-234,MIMAT0015049,hsa-mir-1193,RN7SKP184,106480470,ENSG00000199218
miRNet-snc-235,MIMAT0015049,hsa-mir-1193,RNA5SP487,100873729,ENSG00000222118
miRNet-snc-236,MIMAT0015049,hsa-mir-1193,RN7SKP131,106479153,ENSG00000199876
miRNet-snc-237,MIMAT0015049,hsa-mir-1193,RN7SKP63,106479123,ENSG00000200057
miRNet-snc-238,MIMAT0015049,hsa-mir-1193,RN7SKP221,106480474,ENSG00000222352
miRNet-snc-239,MIMAT0015049,hsa-mir-1193,RN7SKP80,106479130,ENSG00000202058
miRNet-snc-240,MIMAT0015049,hsa-mir-1193,RN7SKP20,106479104,ENSG00000199622
miRNet-snc-241,MIMAT0015049,hsa-mir-1193,RN7SKP189,106479180,ENSG00000201912
miRNet-snc-242,MIMAT0015049,hsa-mir-1193,RNA5SP524,111644143,ENSG00000201285
miRNet-snc-243,MIMAT0005955,hsa-mir-1197,RN7SKP208,106481817,ENSG00000202344
miRNet-snc-244,MIMAT0005955,hsa-mir-1197,RNU2-9P,106481636,ENSG00000222126
miRNet-snc-245,MIMAT0005955,hsa-mir-1197,RN7SKP207,106480897,ENSG00000223136
miRNet-snc-246,MIMAT0005955,hsa-mir-1197,RN7SKP145,106480878,ENSG00000200161
miRNet-snc-247,MIMAT0005955,hsa-mir-1197,RN7SKP228,106479196,ENSG00000222974
miRNet-snc-248,MIMAT0005955,hsa-mir-1197,RN7SKP104,106480865,ENSG00000199475
miRNet-snc-249,MIMAT0005955,hsa-mir-1197,RN7SKP77,106479128,ENSG00000200131
miRNet-snc-250,MIMAT0005955,hsa-mir-1197,SNORD15B,114599,ENSG00000207445
miRNet-snc-251,MIMAT0005955,hsa-mir-1197,SNORD10,652966,ENSG00000238917
miRNet-snc-252,MIMAT0005955,hsa-mir-1197,RN7SKP22,106481805,ENSG00000201967
miRNet-snc-253,MIMAT0000421,hsa-mir-122-5p,RNU6-451P,106479765,ENSG00000199791
miRNet-snc-254,MIMAT0000421,hsa-mir-122-5p,SCARNA6,677772,ENSG00000251791
miRNet-snc-255,MIMAT0000421,hsa-mir-122-5p,RN7SL482P,106480513,ENSG00000241587
miRNet-snc-256,MIMAT0000421,hsa-mir-122-5p,RNU4-62P,106479586,ENSG00000222057
miRNet-snc-257,MIMAT0000421,hsa-mir-122-5p,RNU1-70P,107105264,ENSG00000199488
miRNet-snc-258,MIMAT0000421,hsa-mir-122-5p,SNORA4,619568,ENSG00000263776
miRNet-snc-259,MIMAT0000421,hsa-mir-122-5p,RN7SKP280,106479220,ENSG00000201066
miRNet-snc-260,MIMAT0000421,hsa-mir-122-5p,RN7SL303P,106481005,ENSG00000240116
miRNet-snc-261,MIMAT0000421,hsa-mir-122-5p,RN7SL683P,106481109,ENSG00000242330
miRNet-snc-262,MIMAT0000421,hsa-mir-122-5p,RNU1-77P,106480173,ENSG00000212170
miRNet-snc-263,MIMAT0005458,hsa-mir-1224-5p,SCARNA6,677772,ENSG00000251791
miRNet-snc-264,MIMAT0005458,hsa-mir-1224-5p,RN7SKP173,106635535,ENSG00000199691
miRNet-snc-265,MIMAT0005458,hsa-mir-1224-5p,RNU6-743P,106480605,ENSG00000201021
miRNet-snc-266,MIMAT0000422,hsa-mir-124-3p,RN7SL220P,106479303,ENSG00000266467
miRNet-snc-267,MIMAT0000422,hsa-mir-124-3p,RNU2-35P,106480212,ENSG00000252255
miRNet-snc-268,MIMAT0000422,hsa-mir-124-3p,SNORA79B,109616976,ENSG00000222489
miRNet-snc-269,MIMAT0000422,hsa-mir-124-3p,RN7SL608P,106480521,ENSG00000239884
miRNet-snc-270,MIMAT0000422,hsa-mir-124-3p,RN7SKP194,106480893,ENSG00000223260
miRNet-snc-271,MIMAT0019950,hsa-mir-1245b-5p,RNU6-577P,106479822,ENSG00000252756
miRNet-snc-272,MIMAT0019950,hsa-mir-1245b-5p,RN7SKP17,106479102,ENSG00000223174
miRNet-snc-273,MIMAT0019950,hsa-mir-1245b-5p,SNORD1B,677849,ENSG00000199961
