miRNA_ID,Cell_line,miRNA_expression,ExperimentSourceInfo,PMID,Disease,Disease_MESH_ID,Disease_DOID_ID,Disease_categories,Disease_main_type,Disease_sub_type
hsa-miR-184, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-205-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-221-3p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-222-3p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-96-5p, ,UP,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-182-3p, ,UP,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-182-3p, ,UP,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-183-5p, ,UP,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-375, ,UP,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-let-7a-1,uterine leiomyoma,UP,cancer vs normal,17243163,uterus cancer,D014594,"DOID_162,UBERON_0000995","Cancer, Genitourinary Conditions",uterus cancer,
hsa-let-7c-5p,uterine leiomyoma,UP,cancer vs normal,17243163,uterus cancer,D014594,"DOID_162,UBERON_0000995","Cancer, Genitourinary Conditions",uterus cancer,
hsa-miR-23b-3p,uterine leiomyoma,UP,cancer vs normal,17243163,uterus cancer,D014594,"DOID_162,UBERON_0000995","Cancer, Genitourinary Conditions",uterus cancer,
hsa-miR-29b-3p,uterine leiomyoma,DOWN,cancer vs normal,17243163,uterus cancer,D014594,"DOID_162,UBERON_0000995","Cancer, Genitourinary Conditions",uterus cancer,
hsa-miR-154-5p,uterine leiomyoma,DOWN,cancer vs normal,17243163,uterus cancer,D014594,"DOID_162,UBERON_0000995","Cancer, Genitourinary Conditions",uterus cancer,
hsa-miR-212-3p,uterine leiomyoma,DOWN,cancer vs normal,17243163,uterus cancer,D014594,"DOID_162,UBERON_0000995","Cancer, Genitourinary Conditions",uterus cancer,
hsa-let-7b-5p,uterine leiomyoma,UP,cancer vs normal,17243163,uterus cancer,D014594,"DOID_162,UBERON_0000995","Cancer, Genitourinary Conditions",uterus cancer,
hsa-miR-21-5p,uterine leiomyoma,UP,cancer vs normal,17243163,uterus cancer,D014594,"DOID_162,UBERON_0000995","Cancer, Genitourinary Conditions",uterus cancer,
hsa-miR-199a-5p,uterine leiomyoma,UP,cancer vs normal,17243163,uterus cancer,D014594,"DOID_162,UBERON_0000995","Cancer, Genitourinary Conditions",uterus cancer,
hsa-miR-23b-3p,uterine leiomyoma,UP,cancer vs normal,17243163,uterus cancer,D014594,"DOID_162,UBERON_0000995","Cancer, Genitourinary Conditions",uterus cancer,
hsa-miR-335-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-98-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-181a-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-19b-3p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7d-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7g-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-100-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-125a-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-103a-3p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-370-3p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-106b-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-106a-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-125b-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7b-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-26a-5p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-23b-3p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-29a-3p,meningioma,UP,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-200a,meningioma,DOWN,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-373-5p,meningioma,DOWN,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-575,meningioma,DOWN,cancer vs normal,19703993,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7a-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7b-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7d-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7e-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7f*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7g-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-let-7i-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-22-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-26a*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-26b-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-29c-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-30b-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-30c-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-31-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-98*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-103*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-107*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-124a*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-125a*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-127*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-128a*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-128b*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-129-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-132-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-133b,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-134*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-138*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-143-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-145-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-149-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-150-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-153-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-154-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-181b*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-181c-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-190a-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-191-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-192-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-194-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-212*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-219a-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-320a,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-323a-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-324-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-324-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-326,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-328-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-330-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-331-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-346,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-370-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-381*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-382*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-383-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-425-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-7-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-29a-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-29b-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-187-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-9-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-125b*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-135a-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-155-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-203a-3p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-221-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-361-5p,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-372*,medulloblastoma,DOWN,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-17-5p*,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-148a-3p,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-199b-5p,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-18a-3p,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-19a-5p,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-20a-3p,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-21-3p,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-25-5p,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-106a-3p,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-106b-3p,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-137,medulloblastoma,UP,cancer vs normal,18973228,brain cancer,D001932,DOID_1319,"Cancer, Neurological Conditions",brain cancer,
hsa-miR-125b-5p,"RIVA,  Oci-Ly3,  Oci-Ly10,  HBL1,  and U2932, Oci-Ly7,  Oci-Ly19,  and SUDHL-6",DOWN,cancer vs normal,19047678,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-223-3p,"RIVA,  Oci-Ly3,  Oci-Ly10,  HBL1,  and U2932, Oci-Ly7,  Oci-Ly19,  and SUDHL-6",DOWN,cancer vs normal,19047678,lymphoma,D008223,DOID_0060058,"Cancer, Hematopoietic & Lymphatic Conditions",lymphoma,
hsa-miR-125b-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-31-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-16-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-145-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-149-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-181a-3p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-184, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-205-5p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-221-3p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-222-3p, ,DOWN,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-96-5p, ,UP,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-182-3p, ,UP,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-182-3p, ,UP,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-183-5p, ,UP,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-375, ,UP,cancer vs normal,19676045,prostate cancer,D011471,DOID_10283,"Cancer, Genitourinary Conditions",prostate cancer,
hsa-miR-210-3p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-200c-3p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-17-5p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-20a-5p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-203a-3p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-125a-5p,squamous cell carcinoma,DOWN,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-let-7e-5p,squamous cell carcinoma,DOWN,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-200a-3p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-106b-5p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-93-5p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-182-3p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-183-5p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
hsa-miR-106a-5p,squamous cell carcinoma,UP,cancer vs normal,19584273,lung cancer,D008175,DOID_1324,"Cancer, Respiratory Conditions",lung cancer,
